"analysis_protocol","method","nominal_fdr","runs","precision_mean","precision_sd","precision_se","recall_mean","recall_sd","recall_se","directional_recall_mean","directional_recall_sd","directional_recall_se","f1_mean","f1_sd","f1_se","realized_fdp_mean","realized_fdp_sd","realized_fdp_se","specificity_mean","specificity_sd","specificity_se","balanced_accuracy_mean","balanced_accuracy_sd","balanced_accuracy_se","calls_mean","calls_sd","calls_se","scope"
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.1,45,0.935568338064107,0.0548901361637039,0.00818253838375077,0.650783402126324,0.159239141850177,0.0237379697237152,0.650783402126324,0.159239141850177,0.0237379697237152,0.755844217496312,0.126383107924973,0.0188400813685288,0.0644316619358929,0.054890136163704,0.00818253838375077,0.988443320908491,0.0101533316227231,0.00151356931376715,0.819613361517408,0.0785992251722645,0.0117168806975997,62.4444444444444,37.6844286359255,5.61766294154461,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.001,45,0.987424109339488,0.0202142667344714,0.00301336496890605,0.634379068035928,0.135713449444259,0.020230966561223,0.634379068035928,0.135713449444259,0.020230966561223,0.763411489715419,0.112630210925377,0.0167899205299522,0.0125758906605122,0.0202142667344714,0.00301336496890605,0.997910287850931,0.00373176513654761,0.000556298701425616,0.81614467794343,0.0678260485063412,0.0101109103403585,57.4222222222222,33.0037800100154,4.91991304112288,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.005,45,0.960214193384758,0.0360530102705742,0.0053744654505668,0.700298885825583,0.13678235204036,0.0203903091523034,0.700298885825583,0.13678235204036,0.0203903091523034,0.801859334718127,0.106027616509775,0.0158056638672091,0.039785806615242,0.0360530102705742,0.0053744654505668,0.992443776476896,0.00698715953358507,0.00104158424578213,0.846371331151239,0.06807342778567,0.0101477874660121,65.6666666666667,38.3453209187723,5.71618294622797,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.01,45,0.935052721025403,0.0440494579654932,0.00656650549219083,0.736351332027144,0.131477574433426,0.0195995195966619,0.736351332027144,0.131477574433426,0.0195995195966619,0.816924015917329,0.0986395432714203,0.0147043149349618,0.0649472789745965,0.0440494579654932,0.00656650549219083,0.9867490139691,0.00919558496458289,0.00137079687157882,0.861550172998122,0.0652091817289,0.00972081087353051,70.6444444444444,40.4913882850727,6.03609978058408,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.05,45,0.83659068919957,0.0558207161110052,0.00832126105179503,0.806490524348774,0.118413296895254,0.0176520120865102,0.806205624063874,0.119054963507454,0.0177476660974283,0.816776774026773,0.0801860813549798,0.0119534352506042,0.16340931080043,0.0558207161110052,0.00832126105179503,0.959701219427281,0.0130178385970444,0.00194058480154079,0.883095871888027,0.0584055987097032,0.0087065925987647,86.1111111111111,47.6269701201775,7.09980951673788,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.1,45,0.750157687715849,0.0649570309240403,0.00968322245084734,0.83572907550737,0.10515329057607,0.015675327052392,0.835226310298723,0.105743917870709,0.0157633725710707,0.787491181414212,0.0714457309267714,0.0106505007369613,0.249842312284151,0.0649570309240403,0.00968322245084734,0.928314313937771,0.0180965474782614,0.00269767402129632,0.882021694722571,0.0520314080313658,0.0077563843548775,99.5555555555556,54.4966869533267,8.12388643841096,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","limma-voom",0.001,45,0.990037703898153,0.0174252170156894,0.00259759798465116,0.615739751600984,0.142000765697172,0.0211682243303931,0.615739751600984,0.142000765697172,0.0211682243303931,0.748840659341005,0.121983360072353,0.018184205683041,0.00996229610184653,0.0174252170156894,0.00259759798465116,0.998334923919711,0.00337782859130912,0.000503536956433969,0.807037337760347,0.0709930719962951,0.0105830223276835,55.4888888888889,31.7866625991456,4.73847588996931,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","limma-voom",0.005,45,0.960696232898771,0.0389165833046521,0.00580134171474903,0.689201042496899,0.137596810627799,0.0205117214700616,0.689201042496899,0.137596810627799,0.0205117214700616,0.794163499799893,0.10766302710512,0.0160494564846967,0.0393037671012292,0.0389165833046521,0.00580134171474903,0.992816092570421,0.00733357605390036,0.00109322497164572,0.84100856753366,0.068547577753605,0.0102184695700009,64.2888888888889,37.6198824500497,5.60804096425749,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","limma-voom",0.01,45,0.942567470637333,0.0429666634182104,0.00640509201129813,0.725415113799654,0.134430952036106,0.0200397831355165,0.725415113799654,0.134430952036106,0.0200397831355165,0.812311020261126,0.101461884601594,0.0151250447396268,0.0574325293626674,0.0429666634182104,0.00640509201129813,0.988655611854514,0.00830973709871812,0.00123874246852571,0.857035362827084,0.0665879528232872,0.00992634593302794,69,39.724620256781,5.92179675163516,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","limma-voom",0.05,45,0.851098769026018,0.0539191416266108,0.00803779106436935,0.79976985441291,0.123195712052383,0.0183649324457079,0.799530905786865,0.12336340943758,0.0183899312959045,0.819163745871152,0.0827949886616083,0.0123423481895787,0.148901230973982,0.0539191416266108,0.00803779106436935,0.963804060070613,0.0143786469038053,0.00214344212675836,0.881786957241761,0.0599811081386864,0.00894145567759125,83.9777777777778,46.9310368756351,6.99606591389796,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","limma-voom",0.1,45,0.770545115714742,0.0651961098385759,0.00971886223117324,0.828637065083961,0.111092322059417,0.0165606655935437,0.827656402623222,0.111994919708011,0.0166952169067829,0.79430683578203,0.0730640269258674,0.0108917420610743,0.229454884285258,0.0651961098385759,0.00971886223117324,0.93609583991426,0.019107261367401,0.00284834235209095,0.88236645249911,0.0536936214877492,0.00800417250698338,96.2222222222222,53.6321176199863,7.99500405170357,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.001,5,1,0,0,0.17072830673271,0.0427912773598114,0.0191368410041172,0.17072830673271,0.0427912773598114,0.0191368410041172,0.289860989735833,0.0616029353196753,0.0275496701976633,0,0,0,1,0,0,0.585364153366355,0.0213956386799058,0.00956842050205867,14.6,4.9295030175465,2.20454076850486,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.005,5,1,0,0,0.270278596120158,0.0779734238027171,0.0348707752122551,0.270278596120158,0.0779734238027171,0.0348707752122551,0.420685966523287,0.0989198288443899,0.0442382923237401,0,0,0,1,0,0,0.635139298060079,0.0389867119013587,0.0174353876061276,23.2,8.75785361832453,3.91663120551323,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.01,5,1,0,0,0.32599418707127,0.0996565144447382,0.0445677481398248,0.32599418707127,0.0996565144447382,0.0445677481398248,0.48466207814153,0.117021389446739,0.0523335563248771,0,0,0,1,0,0,0.662997093535635,0.0498282572223692,0.0222838740699125,28.2,11.4324100696222,5.11272921246569,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.05,5,1,0,0,0.480579674173834,0.120658284064327,0.0539600250432631,0.480579674173834,0.120658284064327,0.0539600250432631,0.641741245254486,0.114222033185837,0.0510816461463538,0,0,0,1,0,0,0.740289837086917,0.0603291420321638,0.0269800125216316,41,13.9821314541096,6.25299928034539,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.1,5,0.991645988420182,0.0119232999849745,0.00533226185650503,0.550585033866785,0.123600760443563,0.0552759404844949,0.550585033866785,0.123600760443563,0.0552759404844949,0.701852178996957,0.10304141370791,0.0460815211097131,0.00835401157981802,0.0119232999849743,0.00533226185650494,0.998679508411052,0.00180856783692105,0.000808816125055044,0.774632271138918,0.0620968588890091,0.0277705595330073,47.6,15.9311016568221,7.12460525222275,"four-replicate baseline"
