"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","replicates","is_baseline"
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,102,0.943479405184893,0.917814640319312,0.93182961928403,0.970588235294118,91,0.803921568627451,0.0989010989010989,0.849740932642487,0.15,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,102,0.901500197394394,0.82862748383527,0.930020186484668,0.980392156862745,26,0.245098039215686,0.0384615384615385,0.390625,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,102,0.911633109619687,0.863141877070226,0.94181542654551,0.970588235294118,58,0.53921568627451,0.0517241379310345,0.6875,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,102,0.93420186866693,0.907285879144364,0.943161192190036,0.970588235294118,62,0.598039215686274,0.0161290322580645,0.74390243902439,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-original","Two 25% tails",400,102,0.938972233188577,0.910051036544186,0.934023556553257,0.96078431372549,75,0.705882352941177,0.04,0.813559322033898,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-NORM","Two 25% tails",400,102,0.900644821687064,0.82356901530387,0.929002380535027,0.980392156862745,27,0.254901960784314,0.037037037037037,0.403100775193798,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-partial","Two 25% tails",400,102,0.908737991841032,0.863705100119924,0.945072405584362,0.96078431372549,46,0.450980392156863,0,0.621621621621622,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-EB","Two 25% tails",400,102,0.930418476115278,0.898582916458198,0.943647477254864,0.96078431372549,56,0.529411764705882,0.0357142857142857,0.683544303797468,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-original","Unsorted 0-100%",400,102,0.518522173970259,0.266595737917511,0.108390679159292,0.588235294117647,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-NORM","Unsorted 0-100%",400,102,0.50654691406764,0.258803952467206,0.103697462835947,0.57843137254902,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-partial","Unsorted 0-100%",400,102,0.493485984998026,0.250505247294074,0.125501128068261,0.598039215686274,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-EB","Unsorted 0-100%",400,102,0.492235820502698,0.251221385871922,0.127231398182651,0.598039215686274,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,4,TRUE
