"analysis_protocol","moi","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"crispulator-moi-10k-v1",0.3,"edgeR-QL","BARCS-moderated","f1",3,-0.0241661010750351,0.00232549318860686,-0.029942946403272,-0.0183892557467983
"crispulator-moi-10k-v1",0.3,"edgeR-QL","BARCS-moderated","negative_control_gene_p_below_0_05",3,0.0550124384098095,0.0130082379078185,0.0226981840595774,0.0873266927600416
"crispulator-moi-10k-v1",0.3,"limma-voom","BARCS-moderated","auroc",3,-0.0013256204092081,0.000101244762940696,-0.00157712634294631,-0.0010741144754699
"crispulator-moi-10k-v1",0.3,"limma-voom","BARCS-moderated","average_precision",3,-0.00262383199571285,0.000653267046863759,-0.00424663730267088,-0.00100102668875481
"crispulator-moi-10k-v1",0.3,"limma-voom","BARCS-moderated","effect_spearman_active",3,3.85882069105688e-05,0.000308207866717373,-0.000727042577860176,0.000804218991681314
"crispulator-moi-10k-v1",0.3,"limma-voom","BARCS-moderated","calls",3,483.333333333333,24.0901086202062,423.490186029717,543.176480636949
"crispulator-moi-10k-v1",0.3,"limma-voom","BARCS-moderated","directional_recall",3,0.0746407200061046,0.0106315281366099,0.0482305400284171,0.101050899983792
"crispulator-moi-10k-v1",0.3,"limma-voom","BARCS-moderated","realized_fdp",3,0.14300551950922,0.00310590479854638,0.135290024270044,0.150721014748395
"crispulator-moi-10k-v1",0.3,"limma-voom","BARCS-moderated","f1",3,-0.0292875306302893,0.00562789711152977,-0.0432680020828912,-0.0153070591776875
"crispulator-moi-10k-v1",0.3,"limma-voom","BARCS-moderated","negative_control_gene_p_below_0_05",3,0.0539194633026787,0.00423410237128835,0.0434013699267498,0.0644375566786076
"crispulator-moi-10k-v1",0.3,"MAGeCK-MLE","BARCS-moderated","auroc",3,0.00369791248729497,0.000270936350412423,0.00302486928175147,0.00437095569283847
