"analysis_protocol","method","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","genes_simulated","replicates","is_baseline"
"barcs-external-headtohead-v1","BARCS-partial",400,102,0.911633109619687,0.863141877070226,0.94181542654551,0.970588235294118,58,0.53921568627451,0.0517241379310345,0.6875,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-EB",400,102,0.93420186866693,0.907285879144364,0.943161192190036,0.970588235294118,62,0.598039215686274,0.0161290322580645,0.74390243902439,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,102,0.949236741676536,0.927035878827935,0.944077217544713,0.980392156862745,71,0.686274509803922,0.0140845070422535,0.809248554913295,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","edgeR-QL",400,102,0.955290169759179,0.932832950952743,0.931252862579233,0.96078431372549,107,0.862745098039216,0.177570093457944,0.842105263157895,0.2,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","DESeq2",400,102,0.94920384261087,0.925017934657694,0.930710032739425,0.941176470588235,111,0.862745098039216,0.207207207207207,0.826291079812207,0.2,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","limma-voom",400,102,0.956310040794841,0.933388313295751,0.932519465538787,0.970588235294118,109,0.88235294117647,0.174311926605505,0.853080568720379,0.2,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-original",400,90,0.961863799283154,0.937289077704555,0.914145779314319,0.966666666666667,91,0.866666666666667,0.142857142857143,0.861878453038674,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-partial",400,90,0.937706093189964,0.874559792625195,0.929110589784747,0.966666666666667,58,0.588888888888889,0.0862068965517241,0.716216216216216,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-EB",400,90,0.958458781362007,0.926224310774737,0.93177758571017,0.966666666666667,65,0.722222222222222,0,0.838709677419355,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,90,0.967455197132617,0.946808157975977,0.933637897682842,0.977777777777778,74,0.777777777777778,0.0540540540540541,0.853658536585366,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","edgeR-QL",400,90,0.965806451612903,0.946092213539689,0.915413425525785,0.966666666666667,103,0.911111111111111,0.203883495145631,0.849740932642487,0.0434782608695652,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","DESeq2",400,90,0.965017921146953,0.946183919308541,0.910803802938634,0.966666666666667,101,0.9,0.198019801980198,0.848167539267016,0.0434782608695652,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","limma-voom",400,90,0.966415770609319,0.946973690001919,0.912894596040663,0.966666666666667,98,0.911111111111111,0.163265306122449,0.872340425531915,0.0869565217391304,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-original",400,79,0.809692811230727,0.68328591288894,0.873101265822785,0.924050632911392,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,79,0.777909223549825,0.575476514647648,0.904454722492697,0.936708860759494,12,0.151898734177215,0,0.263736263736264,0.05,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,79,0.795733270239363,0.669020543194249,0.898855890944499,0.924050632911392,20,0.253164556962025,0,0.404040404040404,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,79,0.791375842896013,0.55085440774182,0.921324245374878,0.974683544303797,1,0.0126582278481013,0,0.025,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,400,1,FALSE
