"analysis_protocol","design","method","shared_guide_fit_seconds","gene_aggregation_seconds","converged_fraction","guide_control_scale","gene_null_scale","prior_tau2","prior_df","scenario_id","seed","moi","high_quality_guide_fraction","genes","replicates","total_seconds"
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.456,0.392,0.9995,1.18145004854351,1.36058623574421,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250725,0.25,0.6,400,4,0.848
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.456,0.344,0.9995,1.18145004854351,1.21028059909167,0.00489045853550718,4,"moi_0.25_quality_0.6_genes_400_replicates_4",20250725,0.25,0.6,400,4,0.8
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.44,0.144,0.9995,1.18504235160671,NA,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250726,0.25,0.6,400,4,0.584
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.44,0.398,0.9995,1.18504235160671,1.31541921364638,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250726,0.25,0.6,400,4,0.838
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.44,0.392,0.9995,1.18504235160671,1.2033509825426,0.00627173258991691,4,"moi_0.25_quality_0.6_genes_400_replicates_4",20250726,0.25,0.6,400,4,0.832
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.42,0.142,0.999,1.32680012674921,NA,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250727,0.25,0.6,400,4,0.562
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.42,0.382,0.999,1.32680012674921,1.40799114632772,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250727,0.25,0.6,400,4,0.802
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.42,0.348,0.999,1.32680012674921,1.22370142065278,0.00586287952413786,4,"moi_0.25_quality_0.6_genes_400_replicates_4",20250727,0.25,0.6,400,4,0.768
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.434,0.146,0.9995,1.12124246627665,NA,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250728,0.25,0.6,400,4,0.58
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.434,0.418,0.9995,1.12124246627665,1.37475116792961,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250728,0.25,0.6,400,4,0.852
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.434,0.393,0.9995,1.12124246627665,1.20554495805745,0.00649407127577166,4,"moi_0.25_quality_0.6_genes_400_replicates_4",20250728,0.25,0.6,400,4,0.827
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.406,0.148,0.999,1.14208003137344,NA,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250724,0.25,0.75,400,4,0.554
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.406,0.389,0.999,1.14208003137344,1.78374647223659,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250724,0.25,0.75,400,4,0.795
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.406,0.36,0.999,1.14208003137344,1.26530991260798,0.00544706633250863,4,"moi_0.25_quality_0.75_genes_400_replicates_4",20250724,0.25,0.75,400,4,0.766
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.435,0.149,0.9995,1.26929080137296,NA,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250725,0.25,0.75,400,4,0.584
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.435,0.4,0.9995,1.26929080137296,1.83358257646796,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250725,0.25,0.75,400,4,0.835
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.435,0.359,0.9995,1.26929080137296,1.44257866158411,0.00508975526247997,4,"moi_0.25_quality_0.75_genes_400_replicates_4",20250725,0.25,0.75,400,4,0.794
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.406,0.144,1,1.14833206157131,NA,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250726,0.25,0.75,400,4,0.55
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.406,0.385,1,1.14833206157131,1.28851832744982,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250726,0.25,0.75,400,4,0.791
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.406,0.363,1,1.14833206157131,1.15271562485269,0.00570662458629696,4,"moi_0.25_quality_0.75_genes_400_replicates_4",20250726,0.25,0.75,400,4,0.769
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.411,0.146,0.9985,1.31724934368413,NA,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250727,0.25,0.75,400,4,0.557
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.411,0.416,0.9985,1.31724934368413,1.32965054641589,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250727,0.25,0.75,400,4,0.827
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.411,0.36,0.9985,1.31724934368413,1.22019297658847,0.00480077439512895,4,"moi_0.25_quality_0.75_genes_400_replicates_4",20250727,0.25,0.75,400,4,0.771
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.517,0.206,0.999,1.03392375353903,NA,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250728,0.25,0.75,400,4,0.723
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.517,0.394,0.999,1.03392375353903,1.4406899223936,NA,NA,"moi_0.25_quality_0.75_genes_400_replicates_4",20250728,0.25,0.75,400,4,0.911
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.517,0.384,0.999,1.03392375353903,1.33344031526932,0.00497268981587149,4,"moi_0.25_quality_0.75_genes_400_replicates_4",20250728,0.25,0.75,400,4,0.901
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.428,0.152,0.999,1.02066301980082,NA,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250724,0.1,0.9,400,4,0.58
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.428,0.394,0.999,1.02066301980082,1.45298195890977,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250724,0.1,0.9,400,4,0.822
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.428,0.389,0.999,1.02066301980082,1.31532688929542,0.00297311329268953,4,"moi_0.1_quality_0.9_genes_400_replicates_4",20250724,0.1,0.9,400,4,0.817
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.551,0.206,1,1.0074147926241,NA,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250725,0.1,0.9,400,4,0.757
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.551,0.432,1,1.0074147926241,1.28696012347409,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250725,0.1,0.9,400,4,0.983
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.551,0.374,1,1.0074147926241,1.14131770505635,0.00247574803490926,4,"moi_0.1_quality_0.9_genes_400_replicates_4",20250725,0.1,0.9,400,4,0.925
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.41,0.145,0.9985,1.14540148857206,NA,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250726,0.1,0.9,400,4,0.555
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.41,0.393,0.9985,1.14540148857206,1.5307630085959,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250726,0.1,0.9,400,4,0.803
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.41,0.361,0.9985,1.14540148857206,1.39526156979314,0.00291439088055186,4,"moi_0.1_quality_0.9_genes_400_replicates_4",20250726,0.1,0.9,400,4,0.771
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.441,0.144,0.999,1.27983307520082,NA,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250727,0.1,0.9,400,4,0.585
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.441,0.432,0.999,1.27983307520082,1.46111878168648,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250727,0.1,0.9,400,4,0.873
