"analysis_protocol","replicates","method","nominal_fdr","runs","precision_mean","precision_sd","precision_se","recall_mean","recall_sd","recall_se","directional_recall_mean","directional_recall_sd","directional_recall_se","f1_mean","f1_sd","f1_se","realized_fdp_mean","realized_fdp_sd","realized_fdp_se","specificity_mean","specificity_sd","specificity_se","balanced_accuracy_mean","balanced_accuracy_sd","balanced_accuracy_se","calls_mean","calls_sd","calls_se"
"crispulator-f1-threshold-curves-v1",1,"limma-voom",0.001,5,0.891553268384664,0.0492353989785182,0.0220187398030581,0.389376081381002,0.0943980633342214,0.0422160973119299,0.389376081381002,0.0943980633342214,0.0422160973119299,0.536717278629807,0.095307952312306,0.0426230120333249,0.108446731615336,0.0492353989785182,0.0220187398030581,0.987989815355366,0.00511969010487053,0.00228959501964471,0.688682948368184,0.0476566319010178,0.0213126937018721,35.8,5.06951674225463,2.26715680975093
"crispulator-f1-threshold-curves-v1",1,"limma-voom",0.005,5,0.815088485170969,0.04846906869738,0.0216760264826898,0.484867500476617,0.0751320412400544,0.0336000703002159,0.484867500476617,0.0751320412400544,0.0336000703002159,0.602987676403005,0.0476113493462985,0.0212924427277627,0.184911514829031,0.0484690686973801,0.0216760264826898,0.971011646430258,0.00839340992967913,0.00375364703315685,0.727939573453437,0.0341090668267721,0.0152540384147491,49.4,5.94138031100518,2.65706605111728
"crispulator-f1-threshold-curves-v1",1,"limma-voom",0.01,5,0.748791756882153,0.0364612025153234,0.0163059454731299,0.515495519800289,0.0709942824511361,0.0317496083149121,0.515495519800289,0.0709942824511361,0.0317496083149121,0.607652871014939,0.0531733111283578,0.0237798276543508,0.251208243117847,0.0364612025153234,0.0163059454731299,0.954982676825522,0.00121366688053508,0.000542768329383309,0.735239098312905,0.0350654543924169,0.0156817479366725,57.2,6.53452370108182,2.92232783924049
"crispulator-f1-threshold-curves-v1",1,"limma-voom",0.05,5,0.562648642268525,0.0382960781933737,0.0171265268224062,0.618503602505027,0.0643841521343331,0.0287934681692114,0.618503602505027,0.0643841521343331,0.0287934681692114,0.586849905377513,0.0305674409966914,0.0136701751933632,0.437351357731475,0.0382960781933736,0.0171265268224062,0.872769853283545,0.0169254075006211,0.00756927234365471,0.745636727894286,0.0369805182063021,0.016538190510492,91.6,8.38450952650183,3.74966665185053
"crispulator-f1-threshold-curves-v1",1,"limma-voom",0.1,5,0.493365458229312,0.0365365342968948,0.0163396348700219,0.688181517332672,0.085329214290178,0.0381603847238969,0.684046819975468,0.0864131569401514,0.0386451386137072,0.570940095176111,0.0223463008603915,0.0099935695538995,0.506634541770688,0.0365365342968948,0.0163396348700219,0.812469051588256,0.0295277262058442,0.0132052006034539,0.750325284460464,0.04169031585617,0.0186444760515667,116.4,14.4844744467999,6.47765389628066
"crispulator-f1-threshold-curves-v1",1,"MAGeCK-MLE",0.001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"crispulator-f1-threshold-curves-v1",1,"MAGeCK-MLE",0.005,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"crispulator-f1-threshold-curves-v1",1,"MAGeCK-MLE",0.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"crispulator-f1-threshold-curves-v1",1,"MAGeCK-MLE",0.05,5,0.2,0.447213595499958,0.2,0.00253164556962025,0.00566093158860706,0.00253164556962025,0.00253164556962025,0.00566093158860706,0.00253164556962025,0.005,0.0111803398874989,0.005,0,0,0,1,0,0,0.50126582278481,0.00283046579430355,0.00126582278481013,0.2,0.447213595499958,0.2
"crispulator-f1-threshold-curves-v1",1,"MAGeCK-MLE",0.1,5,0.6,0.547722557505166,0.244948974278318,0.0135944475019874,0.0182321269180492,0.00815365503263236,0.0135944475019874,0.0182321269180492,0.00815365503263236,0.0263223518645619,0.0348792438171074,0.0155984720357683,0,0,0,1,0,0,0.506797223750994,0.00911606345902462,0.00407682751631619,1.2,1.6431676725155,0.734846922834953
"crispulator-f1-threshold-curves-v1",3,"BARCS-EB",0.001,5,1,0,0,0.106935586562638,0.0399724353972611,0.0178762165548989,0.106935586562638,0.0399724353972611,0.0178762165548989,0.191306586844724,0.0659100146965582,0.0294758546519028,0,0,0,1,0,0,0.553467793281319,0.0199862176986305,0.00893810827744945,8.8,3.11448230047949,1.39283882771841
"crispulator-f1-threshold-curves-v1",3,"BARCS-EB",0.005,5,1,0,0,0.191418448135079,0.0841750776489148,0.0376442391268593,0.191418448135079,0.0841750776489148,0.0376442391268593,0.314772376292436,0.116190009452387,0.0519617518883761,0,0,0,1,0,0,0.595709224067539,0.0420875388244574,0.0188221195634297,15.8,6.61059755241536,2.9563490998189
"crispulator-f1-threshold-curves-v1",3,"BARCS-EB",0.01,5,1,0,0,0.226973356210949,0.093634780022098,0.0418747466375301,0.226973356210949,0.093634780022098,0.0418747466375301,0.362383096210386,0.12444875152027,0.0556551736228608,0,0,0,1,0,0,0.613486678105474,0.046817390011049,0.0209373733187651,18.8,7.69415362466854,3.44093010681705
