gene_id	SYMBOL	HT29_LARGE_INTESTINE
CRY1 (1407)	CRY1	3.21878116778407
PGLYRP1 (8993)	PGLYRP1	0.739848102699327
NFIX (4784)	NFIX	4.07980475463526
ST3GAL1 (6482)	ST3GAL1	6.20906339534927
MMP25 (64386)	MMP25	0.356143810225275
IL32 (9235)	IL32	1.37851162325373
PKD1 (5310)	PKD1	4.877744249949
MAPK8IP2 (23542)	MAPK8IP2	0.0285691521967709
MED24 (9862)	MED24	5.51601514700366
RHOBTB2 (23221)	RHOBTB2	1.70929063572336
HEATR5B (54497)	HEATR5B	2.89336221076387
SEC62 (7095)	SEC62	6.0360636887437
RPS20 (6224)	RPS20	10.7913257117639
CSDE1 (7812)	CSDE1	7.87553435157324
UBE3C (9690)	UBE3C	5.67666233485797
REV3L (5980)	REV3L	2.79285535236249
TENM1 (10178)	TENM1	0.0143552929770701
PAX7 (5081)	PAX7	0.0426443374084937
MASP2 (10747)	MASP2	0.678071905112638
IYD (389434)	IYD	1.18903382439002
FAM76A (199870)	FAM76A	1.94860084749336
TRAF3IP3 (80342)	TRAF3IP3	0.0143552929770701
POMT2 (29954)	POMT2	3.0071955014042
VTA1 (51534)	VTA1	5.17990909001493
MLXIPL (51085)	MLXIPL	1.09761079662642
BAZ1B (9031)	BAZ1B	5.50303064564116
RANBP9 (10048)	RANBP9	4.49569516262407
ETV7 (51513)	ETV7	0.124328135002202
SPRTN (83932)	SPRTN	3.17632277264046
METTL13 (51603)	METTL13	4.83390207666916
DYRK4 (8798)	DYRK4	2.76341157447001
ZNF207 (7756)	ZNF207	7.43671154213721
UQCRC1 (7384)	UQCRC1	7.2045711442492
STARD3NL (83930)	STARD3NL	4.79441586635011
CD9 (928)	CD9	7.30451104180995
HHATL (57467)	HHATL	0
NCAPD2 (9918)	NCAPD2	6.03672310600552
IFFO1 (25900)	IFFO1	0.855989697308481
GIPR (2696)	GIPR	2.24488705912353
PHF7 (51533)	PHF7	1.50589092972996
SEMA3G (56920)	SEMA3G	0.321928094887362
NISCH (11188)	NISCH	4.39985467357243
STAB1 (23166)	STAB1	0.0285691521967709
FUZ (80199)	FUZ	0.53605290024021
SLC6A13 (6540)	SLC6A13	0.0285691521967709
IDS (3423)	IDS	3.86888427302877
PRSS3 (5646)	PRSS3	6.15400794755902
ZNF200 (7752)	ZNF200	2.7311832415722
CD4 (920)	CD4	0.389566811762726
LRRC23 (10233)	LRRC23	1.67355642399014
BTK (695)	BTK	0.0840642647884745
HFE (3077)	HFE	2.95791459863299
SCMH1 (22955)	SCMH1	4.23955079661364
FYN (2534)	FYN	3.5909612413426
HIVEP2 (3097)	HIVEP2	1.94110631094643
FMO1 (2326)	FMO1	0
ELOA (6924)	ELOA	4.54905302933729
LYPLA2 (11313)	LYPLA2	7.07349893229018
CLCN6 (1185)	CLCN6	2.92029330021101
MRC2 (9902)	MRC2	0.594548549550354
SLC6A7 (6534)	SLC6A7	0.070389327891398
TSPAN9 (10867)	TSPAN9	2.77610398807316
BTBD7 (55727)	BTBD7	3.10265813136374
APBA3 (9546)	APBA3	2.98367769469807
MKS1 (54903)	MKS1	3.56803210477128
ABHD5 (51099)	ABHD5	2.44360665147561
ANOS1 (3730)	ANOS1	0
AKAP8L (26993)	AKAP8L	4.90110824301451
MBTD1 (54799)	MBTD1	3.31034012061215
UTP18 (51096)	UTP18	5.41852730210161
RNF216 (54476)	RNF216	3.44757919654888
TTC19 (54902)	TTC19	3.63459326844576
PTBP1 (5725)	PTBP1	8.11270013274936
DPF1 (8193)	DPF1	0.250961573533219
SYT7 (9066)	SYT7	2.70043971814109
LARS2 (23395)	LARS2	3.32048467801769
PIK3C2A (5286)	PIK3C2A	4.51601514700366
PLAUR (5329)	PLAUR	4.71644223684332
ANLN (54443)	ANLN	5.06953032516231
WIZ (58525)	WIZ	3.4905701304462
RABGAP1 (23637)	RABGAP1	4.80529245560071
DCN (1634)	DCN	0.137503523749935
QPCTL (54814)	QPCTL	3.55090066464752
PPP5C (5536)	PPP5C	6.82005128463813
CEP68 (23177)	CEP68	1.56071495447448
MAP4K3 (8491)	MAP4K3	3.22650852980868
ZBTB32 (27033)	ZBTB32	0.20163386116965
TYROBP (7305)	TYROBP	0
TMEM159 (57146)	TMEM159	4.62993940943954
GABRA3 (2556)	GABRA3	0.298658315564515
BRCA1 (672)	BRCA1	4.16027483140859
ERCC1 (2067)	ERCC1	5.43362716708478
CD22 (933)	CD22	0.070389327891398
SEMA3B (7869)	SEMA3B	4.47508488294878
MBTPS2 (51360)	MBTPS2	2.34198574722862
PRICKLE3 (4007)	PRICKLE3	3.37573453858316
LTF (4057)	LTF	0.0143552929770701
EXTL3 (2137)	EXTL3	1.60880924267552
NR1H4 (9971)	NR1H4	0.111031312388744
ELOVL5 (60481)	ELOVL5	0.250961573533219
ALOX5 (240)	ALOX5	3.7311832415722
KDM5D (8284)	KDM5D	0.176322772640463
CALCOCO1 (57658)	CALCOCO1	5.23993261348524
UBR7 (55148)	UBR7	4.0241423458978
MAP4K5 (11183)	MAP4K5	3.5765221379205
EHD3 (30845)	EHD3	0.0143552929770701
PSMC4 (5704)	PSMC4	7.17941152317403
MAN2B2 (23324)	MAN2B2	3.51727569320958
SLC7A14 (57709)	SLC7A14	0
CLDN11 (5010)	CLDN11	0.464668267003444
SLC25A39 (51629)	SLC25A39	7.17552460108987
MVP (9961)	MVP	5.86567141764843
NUB1 (51667)	NUB1	5.64270157183323
PGM3 (5238)	PGM3	4.54720302475693
RWDD2A (112611)	RWDD2A	1.48026512205446
CLK1 (1195)	CLK1	5.61441538650813
POLR3B (55703)	POLR3B	2.97636363573276
ANGEL1 (23357)	ANGEL1	2.72465027173297
RNF14 (9604)	RNF14	3.77082904603249
DNASE1L1 (1774)	DNASE1L1	5.47248777146274
DDX11 (1663)	DDX11	6.20359271420771
HEBP1 (50865)	HEBP1	3.23419472295381
GPRC5A (9052)	GPRC5A	5.95930648975966
MAMLD1 (10046)	MAMLD1	0.238786859587116
CD6 (923)	CD6	0.344828496997441
TACC3 (10460)	TACC3	6.03979640762002
UFL1 (23376)	UFL1	3.3547342399706
POLA2 (23649)	POLA2	4.8293421939028
ZC3H3 (23144)	ZC3H3	2.99819550315325
CAPN1 (823)	CAPN1	7.2457428347537
ACPP (55)	ACPP	1.24488705912353
MDH1 (4190)	MDH1	6.47265022797335
SLC30A9 (10463)	SLC30A9	4.8860623383456
MTMR11 (10903)	MTMR11	3.90785207184596
COX15 (1355)	COX15	4.79701297783614
CCDC88C (440193)	CCDC88C	4.06522762277562
YAF2 (10138)	YAF2	3.07724299893246
ZMYND11 (10771)	ZMYND11	4.80529245560071
WAS (7454)	WAS	0.704871964456353
DPEP1 (1800)	DPEP1	4.84046323386954
BID (637)	BID	5.55151601762801
MATR3 (9782)	MATR3	7.16269343221124
NPC1L1 (29881)	NPC1L1	0.137503523749935
XYLT2 (64132)	XYLT2	3.40190347160796
