"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","calls","directional_recall","realized_fdp","f1","negative_control_gene_p_below_0_05","guide_fit_seconds","prior_df","control_scale_original","control_scale_moderated","moi","seed","genes_simulated","replicates","scope"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",9475,1956,0.960144627475426,0.927309472155538,0.932905886325501,1074,0.548568507157464,0.000931098696461825,0.708250825082508,NA,106.08,43.6259304865123,1.25120976762081,1.29096794488533,0.3,20250724,10000,4,"supplementary"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",9475,1956,0.955736537649271,0.921387940409623,0.921813150963841,2266,0.873721881390593,0.245366284201236,0.810042633822833,0.142857142857143,106.08,43.6259304865123,1.25120976762081,1.29096794488533,0.3,20250724,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",9484,1950,0.947105770081613,0.900085905048475,0.920021345639585,1595,0.749230769230769,0.084012539184953,0.82425952045134,0.0426356589147287,69.3200000000001,45.84797731908,1.2183955112955,1.24312714589487,0.3,20250725,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",9484,1950,0.955543416852151,0.919282497959559,0.920021345639585,1669,0.792307692307692,0.0742959856201318,0.85382702403979,0.0387596899224806,69.3200000000001,45.84797731908,1.2183955112955,1.24312714589487,0.3,20250725,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-original","low-high",9484,1950,0.941324593466882,0.886846462417565,0.919843274881636,1214,0.602564102564103,0.0321252059308072,0.742730720606827,0.0290697674418605,69.3200000000001,45.84797731908,1.2183955112955,1.24312714589487,0.3,20250725,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",9484,1950,0.955896619087487,0.920838017642924,0.919843274881636,1612,0.777435897435897,0.0595533498759305,0.85120718697361,0.0310077519379845,69.3200000000001,45.84797731908,1.2183955112955,1.24312714589487,0.3,20250725,10000,4,"supplementary"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",9484,1950,0.954272052166929,0.916916558341688,0.918953926099034,2073,0.853333333333333,0.196816208393632,0.827740492170022,0.0813953488372093,69.3200000000001,45.84797731908,1.2183955112955,1.24312714589487,0.3,20250725,10000,4,"supplementary"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",9484,1950,0.954274434529279,0.91740669885999,0.920308347195643,2136,0.860512820512821,0.213951310861423,0.821830641213901,0.0930232558139535,69.3200000000001,45.84797731908,1.2183955112955,1.24312714589487,0.3,20250725,10000,4,"supplementary"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",9484,1950,0.958996242674236,0.921944205701818,0.930762868416064,1061,0.541025641025641,0.0056550424128181,0.700763865825307,NA,69.3200000000001,45.84797731908,1.2183955112955,1.24312714589487,0.3,20250725,10000,4,"supplementary"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",9484,1950,0.954660377230061,0.917634289739471,0.918745847543339,2218,0.867692307692308,0.236248872858431,0.812859884836852,0.0930232558139535,69.3200000000001,45.84797731908,1.2183955112955,1.24312714589487,0.3,20250725,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",9517,1933,0.946046732195206,0.902626988060953,0.925866650852375,1524,0.736161407139162,0.0662729658792651,0.823257159386751,0.05175983436853,77.5820000000001,45.2644657846702,1.24638345546804,1.25514885545119,0.3,20250726,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",9517,1933,0.95285299898935,0.917879619654377,0.925866650852375,1623,0.781686497672012,0.0690080098582871,0.849831271091114,0.0579710144927536,77.5820000000001,45.2644657846702,1.24638345546804,1.25514885545119,0.3,20250726,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-original","low-high",9517,1933,0.940283175733049,0.887225028126594,0.924872938488041,1233,0.618727366787377,0.0300081103000811,0.755527479469362,0.0351966873706004,77.5820000000001,45.2644657846702,1.24638345546804,1.25514885545119,0.3,20250726,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",9517,1933,0.953364122142403,0.918703677979969,0.924872938488041,1589,0.774961200206932,0.0572687224669604,0.850653038046564,0.0538302277432712,77.5820000000001,45.2644657846702,1.24638345546804,1.25514885545119,0.3,20250726,10000,4,"supplementary"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",9517,1933,0.951570245633795,0.915372254434607,0.923913833179019,2067,0.853595447490947,0.201741654571843,0.825,0.111801242236025,77.5820000000001,45.2644657846702,1.24638345546804,1.25514885545119,0.3,20250726,10000,4,"supplementary"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",9517,1933,0.951410489805095,0.914797551710279,0.92600173624757,2095,0.850491464045525,0.214797136038186,0.816782522343595,0.115942028985507,77.5820000000001,45.2644657846702,1.24638345546804,1.25514885545119,0.3,20250726,10000,4,"supplementary"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",9517,1933,0.956841846913807,0.921128341641539,0.932493410567286,1085,0.559234350750129,0.00368663594470046,0.71636845593108,NA,77.5820000000001,45.2644657846702,1.24638345546804,1.25514885545119,0.3,20250726,10000,4,"supplementary"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",9517,1933,0.951736891017875,0.916438519741268,0.923891836486404,2178,0.870150025866529,0.227272727272727,0.818778885915836,0.12008281573499,77.5820000000001,45.2644657846702,1.24638345546804,1.25514885545119,0.3,20250726,10000,4,"supplementary"
