"analysis_protocol","scope","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-EB","empirical_fdp_fdr_0_10",45,0.235724514263683,0.0591455556706671,0.217955222174391,0.253493806352975
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-EB","f1_fdr_0_10",45,0.144256151664568,0.134204206444956,0.103936744451445,0.184575558877692
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-EB","negative_control_p_below_0_05",45,0.114841448257832,0.0868190587939604,0.0887581154167736,0.140924781098889
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-EB","auroc",45,0.0169575603844756,0.0138274605113306,0.0128033313491257,0.0211117894198256
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-EB","average_precision",45,0.033787727861873,0.028831176193921,0.0251258836157852,0.0424495721079608
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-EB","directional_recall_fdr_0_10",45,0.335324926800099,0.112327348987986,0.301578055185647,0.369071798414551
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-EB","empirical_fdp_fdr_0_10",45,0.228693088841211,0.061258263369828,0.210289069090981,0.247097108591441
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-EB","f1_fdr_0_10",45,0.14938123320144,0.136191653808964,0.108464730698185,0.190297735704696
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-EB","negative_control_p_below_0_05",45,0.108675589255969,0.101362627869626,0.0782228845492506,0.139128293962688
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-EB","auroc",45,0.0177824405085239,0.0148700045410765,0.0133149965718946,0.0222498844451532
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-EB","average_precision",45,0.0330527569399666,0.0277296480148545,0.0247218483954116,0.0413836654845217
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-EB","directional_recall_fdr_0_10",45,0.325923995142735,0.102639457796912,0.295087688258828,0.356760302026643
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-EB","empirical_fdp_fdr_0_10",45,0.21533708626479,0.0576697113356208,0.198011186899945,0.232662985629635
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-EB","f1_fdr_0_10",45,0.151071806032386,0.133690138023375,0.110906842070888,0.191236769993885
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-EB","negative_control_p_below_0_05",45,0.106047585621407,0.0756231379468183,0.0833278797762508,0.128767291466563
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-original","auroc",5,-0.0422371818561328,0.030010369944834,-0.0794999777894095,-0.00497438592285605
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-original","average_precision",5,-0.11578607172807,0.0509237626394514,-0.17901627445055,-0.0525558690055892
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-original","directional_recall_fdr_0_10",5,0.00725490196078432,0.00998845931525493,-0.00514740836849075,0.0196572122900594
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-original","empirical_fdp_fdr_0_10",5,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-original","f1_fdr_0_10",5,0.014249684741488,0.0196150593218408,-0.0101056282410729,0.0386049977240489
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-original","negative_control_p_below_0_05",5,0.028695652173913,0.0263303859628518,-0.00399784013496974,0.0613891444827958
