"scenario_id","metric","method","reference","n","mean_difference","sd_difference","lower_95","upper_95"
"moi_0.4_quality_0.9_genes_400_replicates_4","effect_spearman_active","BARCS-partial","BARCS-original",5,-0.000601026302376795,0.0155783458279287,-0.0199440974684836,0.01874204486373
"moi_0.1_quality_0.9_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-original",5,0.00568991666174719,0.00401011031574548,0.000710707053860496,0.0106691262696339
"moi_0.25_quality_0.6_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-original",5,0.0151921645243272,0.0221962526959543,-0.0123681233432725,0.0427524523919269
"moi_0.25_quality_0.75_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-original",5,0.0104585675679608,0.0230046390716742,-0.0181054645590087,0.0390225996949303
"moi_0.25_quality_0.9_genes_100_replicates_4","effect_spearman_active","BARCS-EB","BARCS-original",5,-0.006497071343939,0.0163801463008359,-0.0268357092909974,0.0138415666031194
"moi_0.25_quality_0.9_genes_1000_replicates_4","effect_spearman_active","BARCS-EB","BARCS-original",5,0.0059759201934886,0.00646953904361809,-0.00205707352194558,0.0140089139089228
"moi_0.25_quality_0.9_genes_400_replicates_1","effect_spearman_active","BARCS-EB","BARCS-original",5,0.018350922201871,0.0188298874849754,-0.0050294711784506,0.0417313155821926
"moi_0.25_quality_0.9_genes_400_replicates_3","effect_spearman_active","BARCS-EB","BARCS-original",5,0.0097381135997842,0.00807335419415565,-0.000286279647846223,0.0197625068474146
"moi_0.25_quality_0.9_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-original",5,0.00552920832032542,0.0141834658986981,-0.0120818906558389,0.0231403072964897
"moi_0.25_quality_0.9_genes_400_replicates_6","effect_spearman_active","BARCS-EB","BARCS-original",5,0.00351452586168559,0.00885411071245711,-0.00747930464608268,0.0145083563694539
"moi_0.4_quality_0.9_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-original",5,0.000377600519244003,0.0153705371824866,-0.018707442133302,0.01946264317179
"moi_0.1_quality_0.9_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-partial",5,0.0015131060128788,0.00189153887203826,-0.000835549705734064,0.00386176173149166
"moi_0.25_quality_0.6_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-partial",5,0.000583439551690823,0.0021438004426393,-0.0020784402772677,0.00324531938064934
"moi_0.25_quality_0.75_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-partial",5,0.00132407677275537,0.0027206299974551,-0.00205403154751783,0.00470218509302857
"moi_0.25_quality_0.9_genes_100_replicates_4","effect_spearman_active","BARCS-EB","BARCS-partial",5,0.00287589574559841,0.00373948007745975,-0.00176728203858358,0.0075190735297804
"moi_0.25_quality_0.9_genes_1000_replicates_4","effect_spearman_active","BARCS-EB","BARCS-partial",5,-8.46246760768166e-05,0.000758164620058536,-0.00102601038951534,0.000856761037361702
"moi_0.25_quality_0.9_genes_400_replicates_1","effect_spearman_active","BARCS-EB","BARCS-partial",5,0.00200552548635864,0.00452227045115154,-0.00360961492297692,0.0076206658956942
"moi_0.25_quality_0.9_genes_400_replicates_3","effect_spearman_active","BARCS-EB","BARCS-partial",5,0.000262085939868428,0.00146635140822814,-0.00155862981244384,0.0020828016921807
"moi_0.25_quality_0.9_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-partial",5,0.000367762297826202,0.00201007287852978,-0.00212807282921003,0.00286359742486244
"moi_0.25_quality_0.9_genes_400_replicates_6","effect_spearman_active","BARCS-EB","BARCS-partial",5,9.25336032883804e-05,0.00247241213054043,-0.00297737152792594,0.0031624387345027
"moi_0.4_quality_0.9_genes_400_replicates_4","effect_spearman_active","BARCS-EB","BARCS-partial",5,0.000978626821620798,0.00168089338204202,-0.00110847797567974,0.00306573161892133
"moi_0.1_quality_0.9_genes_400_replicates_4","direction_accuracy_active","BARCS-partial","BARCS-original",5,-0.00354646206308622,0.0103580299537623,-0.0164076549489891,0.00931473082281662
"moi_0.25_quality_0.6_genes_400_replicates_4","direction_accuracy_active","BARCS-partial","BARCS-original",5,0.034622975708502,0.0292390632552583,-0.00168211647675476,0.0709280678937587
"moi_0.25_quality_0.75_genes_400_replicates_4","direction_accuracy_active","BARCS-partial","BARCS-original",5,0.0266376936096318,0.00895369889081003,0.015520208046156,0.0377551791731076
"moi_0.25_quality_0.9_genes_100_replicates_4","direction_accuracy_active","BARCS-partial","BARCS-original",5,0,0,0,0
"moi_0.25_quality_0.9_genes_1000_replicates_4","direction_accuracy_active","BARCS-partial","BARCS-original",5,0.0123951869706403,0.00498252983128287,0.00620855905916005,0.0185818148821205
"moi_0.25_quality_0.9_genes_400_replicates_1","direction_accuracy_active","BARCS-partial","BARCS-original",5,0.0171409095650738,0.0216987343465697,-0.00980162767964933,0.0440834468097969
"moi_0.25_quality_0.9_genes_400_replicates_3","direction_accuracy_active","BARCS-partial","BARCS-original",5,0.00519749928957121,0.0144470692854992,-0.0127409065217886,0.023135905100931
"moi_0.25_quality_0.9_genes_400_replicates_4","direction_accuracy_active","BARCS-partial","BARCS-original",5,0.00333333333333341,0.00745355992499947,-0.00592148368399278,0.0125881503506596
"moi_0.25_quality_0.9_genes_400_replicates_6","direction_accuracy_active","BARCS-partial","BARCS-original",5,0.00109341333304558,0.0177553999959672,-0.0209528276156542,0.0231396542817453
