"analysis_protocol","moi","design","method","nominal_fdr","runs","precision","recall","directional_recall","realized_fdp","realized_fdp_sd","f1","f1_sd","calls"
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",1e-06,3,1,0.184197286242932,0.184197286242932,0,0,0.305971043781511,0.116042354910032,358
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",3e-06,3,1,0.184197286242932,0.184197286242932,0,0,0.305971043781511,0.116042354910032,358
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",1e-05,3,1,0.184197286242932,0.184197286242932,0,0,0.305971043781511,0.116042354910032,358
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",3e-05,3,1,0.184197286242932,0.184197286242932,0,0,0.305971043781511,0.116042354910032,358
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",1e-04,3,1,0.184197286242932,0.184197286242932,0,0,0.305971043781511,0.116042354910032,358
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",3e-04,3,1,0.184197286242932,0.184197286242932,0,0,0.305971043781511,0.116042354910032,358
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.001,3,1,0.184197286242932,0.184197286242932,0,0,0.305971043781511,0.116042354910032,358
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.003,3,1,0.184197286242932,0.184197286242932,0,0,0.305971043781511,0.116042354910032,358
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.01,3,0.999356499356499,0.252485968856054,0.252485968856054,0.000643500643500643,0.00111457580924638,0.402891897986168,0.0233644421951383,491.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.03,3,0.998196553471101,0.370125346395964,0.370125346395964,0.0018034465288987,0.000543960656771931,0.539039577469068,0.0455369488716593,722
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.05,3,0.995980502429342,0.452930485511394,0.452930485511394,0.00401949757065827,0.00189555047264776,0.621893699829112,0.0391501956051692,885.333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.1,3,0.99399706644181,0.562552257210327,0.562552257210327,0.00600293355819026,0.00190484095651676,0.718144366711949,0.0242785886265355,1101.66666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.2,3,0.979497364545638,0.670806577256991,0.670806577256991,0.0205026354543622,0.00205793343141449,0.796183550298704,0.0133584026161632,1333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",1e-06,3,0.999443516972732,0.311007338194901,0.311007338194901,0.000556483027267668,0.000963856876777338,0.474382755795986,0.00519617959173283,605.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",3e-06,3,0.999509081983309,0.350222531085204,0.350222531085204,0.000490918016691213,0.000850294947260126,0.518690402087656,0.00397177617812144,682
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",1e-05,3,0.999563128003495,0.398319693150894,0.398319693150894,0.000436871996505024,0.000756684494350755,0.569563499689724,0.0130767804541372,775.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",3e-05,3,0.999611046285492,0.444239136553001,0.444239136553001,0.000388953714507973,0.00067368759532045,0.615094792197684,0.00660931491094014,865
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",1e-04,3,0.998283313605917,0.498694473937794,0.498694473937794,0.00171668639408296,0.00160054766430476,0.665033120858006,0.0137967278760143,972.333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",3e-04,3,0.995025498185777,0.55349550158944,0.55349550158944,0.00497450181422321,0.00310445484719692,0.711232664858713,0.0144395813401524,1082.66666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",0.001,3,0.990036547347738,0.613235999448029,0.613235999448029,0.00996345265226158,0.00096218284362537,0.757268512287079,0.0131174270173869,1205.66666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",0.003,3,0.97996771290064,0.670780495885946,0.670780495885946,0.0200322870993599,0.0011889091863761,0.796336231240228,0.0127412832295697,1332.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",0.01,3,0.959072587726537,0.738084979528808,0.737741595833122,0.0409274122734629,0.00119580426496444,0.834135646940897,0.00867844416489785,1498
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",0.03,3,0.906185064568395,0.791848933395974,0.791505549700288,0.0938149354316045,0.00405467820015974,0.845088297650437,0.0086378069995921,1701
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",0.05,3,0.873875935750711,0.820806770398079,0.820292970887806,0.126124064249289,0.00447752207213655,0.846463234036881,0.00671044264355966,1828.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",0.1,3,0.795035486222644,0.857460691651799,0.856775951970586,0.204964513777356,0.00143827965038909,0.825032986447067,0.00496461788700756,2099.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","edgeR-QL",0.2,3,0.681787554074051,0.893796855939779,0.892426397579899,0.318212445925949,0.00233349054214235,0.773517980223536,0.00192019618540281,2551.66666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",1e-06,3,0.999468367889421,0.325215197827336,0.325215197827336,0.000531632110579479,0.000920813826458733,0.490731704737193,0.00619452816018674,633.333333333333
