"analysis_protocol","moi","design","scope","method","metric","runs","mean","sd","se"
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-moderated","auroc",3,0.954827223646225,0.00277924586453341,0.00160459834803252
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-moderated","average_precision",3,0.92007048606156,0.0042431745159969,0.00244979794902937
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-moderated","effect_spearman_active",3,0.923238124325804,0.00362076440788942,0.00209044930556717
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-moderated","calls",3,1613,38.742741255621,22.3681320930768
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-moderated","directional_recall",3,0.776112750775867,0.0121245840309147,0.00700013185406086
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-moderated","realized_fdp",3,0.0634051042612696,0.00257429266832981,0.00148626856503309
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-moderated","f1",3,0.848789559396722,0.00636978044832977,0.00367759445652201
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-moderated","negative_control_gene_p_below_0_05",3,0.0511700130001444,0.00447871728763292,0.0025857886316391
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-original","auroc",3,0.947074734643959,0.00101284141262362,0.000584764262224649
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-original","average_precision",3,0.902874461596873,0.00292016861221062,0.0016859601343389
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-original","effect_spearman_active",3,0.92327523243034,0.00297843020941113,0.00171959748316603
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-original","calls",3,1560,35.5105618091294,20.5020324195757
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-original","directional_recall",3,0.741722409164892,0.00674879314194628,0.00389641753720778
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-original","realized_fdp",3,0.0744385379895888,0.00895326027951045,0.00516916723250014
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-original","f1",3,0.823459024072653,0.000721076870836299,0.00041631392548375
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-original","negative_control_gene_p_below_0_05",3,0.0492429422055307,0.00577590850964095,0.00333472233285585
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-moderated","auroc",3,0.954962993200528,0.00188792919401467,0.00108999642837532
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-moderated","average_precision",3,0.920179612845596,0.00285624612525396,0.0016490544692872
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-moderated","effect_spearman_active",3,0.92327523243034,0.00297843020941113,0.00171959748316603
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-moderated","calls",3,1640,25.2388589282479,14.5716619962629
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-moderated","directional_recall",3,0.783696768166377,0.00780249417157707,0.00450477211031051
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-moderated","realized_fdp",3,0.0698810206058284,0.00404966071854666,0.00233807270597957
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-moderated","f1",3,0.850624193615063,0.00288916120602265,0.0016680580000294
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","BARCS-moderated","negative_control_gene_p_below_0_05",3,0.0525610284558717,0.0120449095254633,0.00695413175689095
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","edgeR-QL","auroc",3,0.953740395539935,0.00195919238590196,0.00113114025139476
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","edgeR-QL","average_precision",3,0.917454993192693,0.0023977347551602,0.00138433280633706
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","edgeR-QL","effect_spearman_active",3,0.921776973922088,0.00255015894048337,0.0014723349507644
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","edgeR-QL","calls",3,2079.66666666667,17.0098010962308,9.82061324177082
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","edgeR-QL","directional_recall",3,0.854593165523567,0.00195948353257609,0.00113130834500544
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","edgeR-QL","realized_fdp",3,0.200027466152856,0.00278314884092085,0.00160685173250045
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","edgeR-QL","f1",3,0.826458092540028,0.001378667955842,0.000795974315428487
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","edgeR-QL","negative_control_gene_p_below_0_05",3,0.107573466865681,0.0243411738716926,0.0140533832872132
