"analysis_protocol","scope","method","metric","runs","mean","sd","se","minimum","maximum"
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","f1_fdr_0_10",5,0.014249684741488,0.0196150593218408,0.00877212120526541,0,0.0384615384615385
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","negative_control_p_below_0_05",5,0.0398067632850242,0.0226599145253168,0.0101338218485886,0,0.0555555555555556
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","auroc",5,0.76343078859253,0.0296146104938864,0.0132440564383017,0.711837083826819,0.783799283154122
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","average_precision",5,0.561963350760079,0.0431901295188123,0.0193152131122169,0.49720252618902,0.617424993370622
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","directional_recall_fdr_0_10",5,0.128342236179006,0.030354800253222,0.0135750793619265,0.0760869565217391,0.151898734177215
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","empirical_fdp_fdr_0_10",5,0.0901960784313724,0.0933977551785424,0.0417687459050207,0,0.222222222222222
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","f1_fdr_0_10",5,0.224325828215322,0.0496200695134709,0.0221907696960772,0.138613861386139,0.263736263736264
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","negative_control_p_below_0_05",5,0.0298067632850242,0.0275434349422919,0.0123177985729615,0,0.0555555555555556
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","auroc",5,0.791614992485086,0.036596800289431,0.0163665866412303,0.732596394262403,0.833186274509804
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","average_precision",5,0.632461023533772,0.034342676131772,0.0153585116719803,0.586146756456325,0.669020543194249
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","directional_recall_fdr_0_10",5,0.117285369477088,0.0882748349978552,0.0394777063515563,0.0326086956521739,0.253164556962025
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","empirical_fdp_fdr_0_10",5,0,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","f1_fdr_0_10",5,0.201376722692512,0.135777278517816,0.0607214449131517,0.0631578947368421,0.404040404040404
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","negative_control_p_below_0_05",5,0.0111111111111111,0.0248451997499977,0.0111111111111111,0,0.0555555555555556
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","auroc",5,0.780004040809139,0.0375520497062844,0.0167937871675406,0.714271614686143,0.808970588235294
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","average_precision",5,0.548042386922158,0.0263251472754023,0.0117729637650986,0.510319613184524,0.575758131382774
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","directional_recall_fdr_0_10",5,0.0135944475019874,0.0182321269180492,0.00815365503263235,0,0.0444444444444444
