"scenario_id","method","design","moi","high_quality_guide_fraction","genes","replicates","is_baseline","metric","n","mean","sd","se"
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-partial","Unsorted 0-100%",0.25,0.9,100,4,FALSE,"auroc",5,0.486235495247894,0.0611365083678424,0.0273410777234961
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-EB","Low + bulk + high",0.25,0.9,1000,4,FALSE,"auroc",5,0.932498243085091,0.0148225752517319,0.00662885717289571
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-EB","Two 25% tails",0.25,0.9,1000,4,FALSE,"auroc",5,0.928130320942753,0.0136113903752225,0.00608719882945679
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-EB","Unsorted 0-100%",0.25,0.9,1000,4,FALSE,"auroc",5,0.490789731164746,0.0246589532396896,0.0110278191395869
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-NORM","Low + bulk + high",0.25,0.9,1000,4,FALSE,"auroc",5,0.888812713024397,0.0144994054390868,0.00648433123902565
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-NORM","Two 25% tails",0.25,0.9,1000,4,FALSE,"auroc",5,0.887430679735492,0.0140452547269298,0.00628122886614307
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-NORM","Unsorted 0-100%",0.25,0.9,1000,4,FALSE,"auroc",5,0.495952363522625,0.0191442612856193,0.00856157392273244
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-original","Low + bulk + high",0.25,0.9,1000,4,FALSE,"auroc",5,0.935232083939338,0.0133681651123676,0.00597842518513904
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-original","Two 25% tails",0.25,0.9,1000,4,FALSE,"auroc",5,0.930191228197658,0.0127413854967936,0.0056981208196721
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-original","Unsorted 0-100%",0.25,0.9,1000,4,FALSE,"auroc",5,0.49448566060963,0.0235479680667896,0.0105309714658672
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-partial","Low + bulk + high",0.25,0.9,1000,4,FALSE,"auroc",5,0.911474170287608,0.0170187080228157,0.00761099760564741
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-partial","Two 25% tails",0.25,0.9,1000,4,FALSE,"auroc",5,0.90809415435175,0.0152530547897205,0.00682137347486876
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-partial","Unsorted 0-100%",0.25,0.9,1000,4,FALSE,"auroc",5,0.487329987635904,0.0266335291392682,0.011910876327225
"moi_0.25_quality_0.9_genes_400_replicates_1","BARCS-EB","Low + bulk + high",0.25,0.9,400,1,FALSE,"auroc",5,0.791614992485086,0.036596800289431,0.0163665866412303
"moi_0.25_quality_0.9_genes_400_replicates_1","BARCS-NORM","Low + bulk + high",0.25,0.9,400,1,FALSE,"auroc",5,0.747817491438415,0.0320805200777927,0.0143468447294983
"moi_0.25_quality_0.9_genes_400_replicates_1","BARCS-original","Low + bulk + high",0.25,0.9,400,1,FALSE,"auroc",5,0.790054673294548,0.0399450039933114,0.017863948858109
"moi_0.25_quality_0.9_genes_400_replicates_1","BARCS-partial","Low + bulk + high",0.25,0.9,400,1,FALSE,"auroc",5,0.76343078859253,0.0296146104938864,0.0132440564383017
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-EB","Low + bulk + high",0.25,0.9,400,3,FALSE,"auroc",5,0.927444246216089,0.0108467033659472,0.00485079321160674
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-EB","Two 25% tails",0.25,0.9,400,3,FALSE,"auroc",5,0.920839984727662,0.0131698169321032,0.00588972118228209
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-EB","Unsorted 0-100%",0.25,0.9,400,3,FALSE,"auroc",5,0.480733671462328,0.0379393166535585,0.0169669782114493
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-NORM","Low + bulk + high",0.25,0.9,400,3,FALSE,"auroc",5,0.882217954921755,0.0174287223712874,0.007794361596634
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-NORM","Two 25% tails",0.25,0.9,400,3,FALSE,"auroc",5,0.880975793512786,0.0170227799348866,0.00761281862008517
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-NORM","Unsorted 0-100%",0.25,0.9,400,3,FALSE,"auroc",5,0.490801718932866,0.0258388194734241,0.0115554713601843
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-original","Low + bulk + high",0.25,0.9,400,3,FALSE,"auroc",5,0.933943161052242,0.00939289801735271,0.00420063169450473
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-original","Two 25% tails",0.25,0.9,400,3,FALSE,"auroc",5,0.927426236174551,0.0126724150166391,0.00566727628325884
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-original","Unsorted 0-100%",0.25,0.9,400,3,FALSE,"auroc",5,0.499772143974737,0.0268650717267141,0.0120144253202681
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-partial","Low + bulk + high",0.25,0.9,400,3,FALSE,"auroc",5,0.903612616395539,0.0139171464748396,0.00622393711411257
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-partial","Two 25% tails",0.25,0.9,400,3,FALSE,"auroc",5,0.898399569609509,0.0130242265424471,0.00582461118065375
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-partial","Unsorted 0-100%",0.25,0.9,400,3,FALSE,"auroc",5,0.479910702362365,0.037741083442259,0.0168783256242766
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-EB","Low + bulk + high",0.25,0.9,400,4,TRUE,"auroc",5,0.948974062565493,0.0114672347126313,0.00512830326627777
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-EB","Two 25% tails",0.25,0.9,400,4,TRUE,"auroc",5,0.943041497616467,0.0157712309371149,0.00705310889284734
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-EB","Unsorted 0-100%",0.25,0.9,400,4,TRUE,"auroc",5,0.496880709040587,0.027538952962493,0.0123157941706607
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-NORM","Low + bulk + high",0.25,0.9,400,4,TRUE,"auroc",5,0.90851990793143,0.0157730328698185,0.00705391474165057
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-NORM","Two 25% tails",0.25,0.9,400,4,TRUE,"auroc",5,0.908491261486885,0.0162240389376029,0.00725561078681672
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-NORM","Unsorted 0-100%",0.25,0.9,400,4,TRUE,"auroc",5,0.496770271920173,0.00950408402351395,0.00425035558808938
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-original","Low + bulk + high",0.25,0.9,400,4,TRUE,"auroc",5,0.955192159239122,0.00895267091830572,0.00400375615070341
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-original","Two 25% tails",0.25,0.9,400,4,TRUE,"auroc",5,0.950596901771403,0.0116222460219225,0.00519762643124906
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-original","Unsorted 0-100%",0.25,0.9,400,4,TRUE,"auroc",5,0.499258046198203,0.0179332979288217,0.0080200146459203
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-partial","Low + bulk + high",0.25,0.9,400,4,TRUE,"auroc",5,0.925735789706229,0.013017574583052,0.00582163633397555
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-partial","Two 25% tails",0.25,0.9,400,4,TRUE,"auroc",5,0.920893762430066,0.0146284041107174,0.00654202119878029
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-partial","Unsorted 0-100%",0.25,0.9,400,4,TRUE,"auroc",5,0.496634326000926,0.0256098186489864,0.0114530590781151
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-EB","Low + bulk + high",0.25,0.9,400,6,FALSE,"auroc",5,0.964254414707764,0.00549389658804231,0.00245694524644335
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-EB","Two 25% tails",0.25,0.9,400,6,FALSE,"auroc",5,0.961311840903236,0.00844733331736826,0.00377776230524685
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-EB","Unsorted 0-100%",0.25,0.9,400,6,FALSE,"auroc",5,0.481832631701052,0.0228214752654142,0.0102060740080592
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-NORM","Low + bulk + high",0.25,0.9,400,6,FALSE,"auroc",5,0.929788743488536,0.00886601881199933,0.00396500415068449
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-NORM","Two 25% tails",0.25,0.9,400,6,FALSE,"auroc",5,0.930324457377165,0.00882222509269681,0.00394541900401489
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-NORM","Unsorted 0-100%",0.25,0.9,400,6,FALSE,"auroc",5,0.472867534334683,0.0268138356390519,0.0119915118452853
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-original","Low + bulk + high",0.25,0.9,400,6,FALSE,"auroc",5,0.967616072461215,0.00603271069675674,0.00269791024130764
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-original","Two 25% tails",0.25,0.9,400,6,FALSE,"auroc",5,0.964822391421078,0.00680095278784543,0.00304147854907782
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-original","Unsorted 0-100%",0.25,0.9,400,6,FALSE,"auroc",5,0.485581346495856,0.0195934196101949,0.00876244363201463
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-partial","Low + bulk + high",0.25,0.9,400,6,FALSE,"auroc",5,0.949043593186389,0.00362960317599404,0.00162320788657436
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-partial","Two 25% tails",0.25,0.9,400,6,FALSE,"auroc",5,0.949416828732078,0.00489968162508357,0.0021912042363587
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-partial","Unsorted 0-100%",0.25,0.9,400,6,FALSE,"auroc",5,0.482337584958602,0.0251901192182484,0.0112653637866655
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-EB","Low + bulk + high",0.4,0.9,400,4,FALSE,"auroc",5,0.932456466717829,0.014720886989658,0.00658338079959351
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-EB","Two 25% tails",0.4,0.9,400,4,FALSE,"auroc",5,0.930580739069455,0.0203910693631828,0.00911916344599803
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-EB","Unsorted 0-100%",0.4,0.9,400,4,FALSE,"auroc",5,0.503264425901722,0.0235119017234502,0.0105148421067858
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-NORM","Low + bulk + high",0.4,0.9,400,4,FALSE,"auroc",5,0.90629754569345,0.00879673094881562,0.00393401767626559
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-NORM","Two 25% tails",0.4,0.9,400,4,FALSE,"auroc",5,0.905938491984708,0.010913289163891,0.00488057128571443
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-NORM","Unsorted 0-100%",0.4,0.9,400,4,FALSE,"auroc",5,0.522914081540434,0.0345856439279013,0.015467170173678
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-original","Low + bulk + high",0.4,0.9,400,4,FALSE,"auroc",5,0.950320647169732,0.011117767570728,0.00497201680923809
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-original","Two 25% tails",0.4,0.9,400,4,FALSE,"auroc",5,0.946779807953544,0.0121342213591326,0.00542658876261006
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-original","Unsorted 0-100%",0.4,0.9,400,4,FALSE,"auroc",5,0.521937671693197,0.018878144575319,0.00844256291189644
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-partial","Low + bulk + high",0.4,0.9,400,4,FALSE,"auroc",5,0.907850050583073,0.013434126488902,0.00600792400950307
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-partial","Two 25% tails",0.4,0.9,400,4,FALSE,"auroc",5,0.904695838663782,0.0244493579845752,0.0109340852919475
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-partial","Unsorted 0-100%",0.4,0.9,400,4,FALSE,"auroc",5,0.501225698869516,0.0234135661238769,0.010470865089735
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-EB","Low + bulk + high",0.1,0.9,400,4,FALSE,"average_precision",5,0.931344116633995,0.00830681756434985,0.0037149217501151
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-EB","Two 25% tails",0.1,0.9,400,4,FALSE,"average_precision",5,0.923559024411176,0.0089438895072072,0.00399982898427248
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-EB","Unsorted 0-100%",0.1,0.9,400,4,FALSE,"average_precision",5,0.232030357104781,0.0471721467734943,0.0210960253660261
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-NORM","Low + bulk + high",0.1,0.9,400,4,FALSE,"average_precision",5,0.820738220677985,0.0406904762661394,0.0181973341935859
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-NORM","Two 25% tails",0.1,0.9,400,4,FALSE,"average_precision",5,0.818246038005737,0.0387590855710948,0.0173335900165399
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-NORM","Unsorted 0-100%",0.1,0.9,400,4,FALSE,"average_precision",5,0.221655588398858,0.0434999902376283,0.0194537870383828
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-original","Low + bulk + high",0.1,0.9,400,4,FALSE,"average_precision",5,0.942075875345487,0.00840272193184965,0.00375781148712883
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-original","Two 25% tails",0.1,0.9,400,4,FALSE,"average_precision",5,0.93555704806957,0.00795542897248967,0.00355777599453164
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-original","Unsorted 0-100%",0.1,0.9,400,4,FALSE,"average_precision",5,0.231898230198137,0.0528220096560988,0.0236227208598375
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-partial","Low + bulk + high",0.1,0.9,400,4,FALSE,"average_precision",5,0.891394256401717,0.0110375783693532,0.00493615510817101
