"rank","term","p_value","odds_ratio","combined_score","overlapping_genes","adjusted_p_value","terminal_coefficient","method_specific_set","gene_set_library","input_genes"
3,"Cell Cycle R-HSA-1640170",2.27061721531539e-09,10.0541666666667,200.110232179907,"LIN54;MASTL;RANGAP1;CKAP5;PSMA7;PSMD8;NUP93;PSMA4;POLR2A;POLR2D;CDC16;NUP88;TUBGCP4;NCAPD3",2.89882131155265e-07,"NSCU5","BARCS","Reactome_2022",56
1,"rRNA Processing In Nucleus And Cytosol R-HSA-8868773",7.01725608649036e-08,17.4682872928177,287.743016785683,"RPL30;UTP3;WDR18;RPL14;NAT10;NOC4L;RPL6;RPL7",1.64515014951875e-05,"GSC0131","MAGeCK-MLE","Reactome_2022",58
2,"rRNA Processing R-HSA-72312",1.04453977747222e-07,16.5453403141361,265.958391656681,"RPL30;UTP3;WDR18;RPL14;NAT10;NOC4L;RPL6;RPL7",1.64515014951875e-05,"GSC0131","MAGeCK-MLE","Reactome_2022",58
3,"Metabolism Of RNA R-HSA-8953854",3.69084051354202e-07,7.69365775827683,113.960316252295,"RPL30;LSM11;UTP3;WDR18;DHX15;RPL14;NAT10;NOC4L;SNRNP25;RPL6;RPL7;WDR33",3.87538253921912e-05,"GSC0131","MAGeCK-MLE","Reactome_2022",58
1,"Metabolism Of RNA R-HSA-8953854",6.5806690515026e-07,7.22149410222805,102.790452639685,"TSEN34;RPS14;HSPA8;PSMB4;LSM11;RPS5;HNRNPU;RPL35A;TSR1;SNRNP25;HSD17B10;TSEN54",0.000234929885138643,"GSC0827","MAGeCK-MLE","Reactome_2022",61
2,"Cellular Responses To Stimuli R-HSA-8953897",7.06669570071346e-05,5.18905633878896,49.5945744122692,"RPS14;ZBTB17;HSPA8;PSMB4;NPLOC4;RPS5;RPL35A;CABIN1;RBX1;MT1E",0.0120665626201067,"GSC0827","MAGeCK-MLE","Reactome_2022",61
3,"Metabolism Of Proteins R-HSA-392499",0.000125145057490978,3.42748725246057,30.799527382622,"HSPA8;EIF1AX;RPS5;ATP6AP2;RPL35A;MRPL36;FURIN;DOLK;MRPL12;RBX1;DDB1;RNF168;RPS14;PSMB4;RAB40A;NPLOC4",0.0120665626201067,"GSC0827","MAGeCK-MLE","Reactome_2022",61
1,"Metabolism Of RNA R-HSA-8953854",7.57308584039895e-09,9.0034675913577,168.352826236272,"RPS6;DDX42;IMP4;NOC4L;NOB1;SNRNP70;PSMB3;PSMC2;RPS3;SRSF3;RPL37;POLR2I;RPS21;RPS13",2.20884205462056e-06,"NSCCB660","MAGeCK-MLE","Reactome_2022",60
2,"Translation R-HSA-72766",1.03701504911763e-08,14.5158671586716,266.864554537773,"GFM1;RPS6;RPS3;EIF3H;RPL37;SRP14;YARS2;CARS2;RPS21;RPS13",2.20884205462056e-06,"NSCCB660","MAGeCK-MLE","Reactome_2022",60
3,"Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226",6.05497710806041e-08,17.7858749437697,295.597687016043,"NOB1;RPS6;RPS3;IMP4;NOC4L;RPL37;RPS21;RPS13",8.59806749344579e-06,"NSCCB660","MAGeCK-MLE","Reactome_2022",60
1,"Metabolism Of RNA R-HSA-8953854",5.4208902334614e-16,16.5961472308222,583.372854761147,"TSEN34;RPS8;NAT10;PPWD1;ZBTB8OS;FTSJ3;PSMA3;RPS28;PSMB3;EXOSC8;DHX15;RPS3;SRSF3;TSR1;UTP20;RIOK1;RPS27A;SF3B1;BCAS2;RPS24",2.79717936046608e-13,"NSCU5","MAGeCK-MLE","Reactome_2022",56
2,"rRNA Processing In Nucleus And Cytosol R-HSA-8868773",4.11882479433083e-12,27.1443196004994,711.600641146613,"RPS28;RPS8;EXOSC8;RPS3;NAT10;TSR1;UTP20;RIOK1;RPS27A;RPS24;FTSJ3",1.06265679693735e-09,"NSCU5","MAGeCK-MLE","Reactome_2022",56
3,"rRNA Processing R-HSA-72312",7.22187918413239e-12,25.6874704491726,658.983950279254,"RPS28;RPS8;EXOSC8;RPS3;NAT10;TSR1;UTP20;RIOK1;RPS27A;RPS24;FTSJ3",1.24216321967077e-09,"NSCU5","MAGeCK-MLE","Reactome_2022",56
