"scenario_id","seed","moi","high_quality_guide_fraction","genes","replicates","is_baseline","average_precision_barcs","directional_recall_fdr_0_10_barcs","f1_fdr_0_10_barcs","average_precision_mageck","directional_recall_fdr_0_10_mageck","f1_fdr_0_10_mageck","average_precision_difference","directional_recall_fdr_0_10_difference","f1_fdr_0_10_difference"
"moi_0.25_quality_0.9_genes_1000_replicates_4",20250724,0.25,0.9,1000,4,FALSE,0.889420979321168,0.696808510638298,0.808641975308642,0.872222618756886,0.680851063829787,0.790123456790124,0.017198360564282,0.015957446808511,0.018518518518518
"moi_0.25_quality_0.9_genes_1000_replicates_4",20250725,0.25,0.9,1000,4,FALSE,0.888358779482635,0.744444444444444,0.822085889570552,0.899508636557868,0.694444444444444,0.803858520900322,-0.011149857075233,0.05,0.01822736867023
"moi_0.25_quality_0.9_genes_1000_replicates_4",20250726,0.25,0.9,1000,4,FALSE,0.879519202410564,0.720720720720721,0.814249363867684,0.889501740909385,0.63963963963964,0.767567567567568,-0.00998253849882103,0.081081081081081,0.0466817963001159
"moi_0.25_quality_0.9_genes_1000_replicates_4",20250727,0.25,0.9,1000,4,FALSE,0.90786419599003,0.785407725321888,0.835616438356164,0.90686660073294,0.690987124463519,0.793103448275862,0.000997595257089978,0.094420600858369,0.042512990080302
"moi_0.25_quality_0.9_genes_1000_replicates_4",20250728,0.25,0.9,1000,4,FALSE,0.89497893988598,0.76555023923445,0.831168831168831,0.900501294851649,0.688995215311005,0.795580110497238,-0.005522354965669,0.0765550239234449,0.035588720671593
"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,FALSE,0.8684135468367,0.683544303797468,0.788321167883212,0.864586081230961,0.531645569620253,0.682926829268293,0.00382746560573899,0.151898734177215,0.105394338614919
"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,FALSE,0.853402035158294,0.7,0.770642201834862,0.874472058658952,0.583333333333333,0.729166666666667,-0.0210700235006579,0.116666666666667,0.041475535168195
"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,FALSE,0.892068450065898,0.554347826086957,0.713286713286713,0.898749053536668,0.565217391304348,0.707482993197279,-0.00668060347077004,-0.010869565217391,0.00580372008943397
"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,FALSE,0.891927543664106,0.725490196078431,0.822222222222222,0.896509847973001,0.558823529411765,0.703703703703704,-0.00458230430889506,0.166666666666666,0.118518518518518
"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,FALSE,0.910770352122526,0.811111111111111,0.839080459770115,0.909184229463373,0.555555555555556,0.709219858156028,0.00158612265915303,0.255555555555555,0.129860601614087
"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE,0.922490020326955,0.69620253164557,0.797101449275362,0.904984553135197,0.670886075949367,0.773722627737226,0.017505467191758,0.025316455696203,0.023378821538136
"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE,0.882183791431375,0.65,0.78,0.906543792790293,0.7,0.807692307692308,-0.0243600013589179,-0.0499999999999999,-0.027692307692308
"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,400,4,TRUE,0.924973945327872,0.804347826086957,0.850574712643678,0.936961864294279,0.75,0.841463414634146,-0.0119879189664069,0.054347826086957,0.00911129800953203
"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,TRUE,0.917832442091721,0.803921568627451,0.849740932642487,0.927035878827935,0.686274509803922,0.809248554913295,-0.00920343673621404,0.117647058823529,0.040492377729192
"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE,0.937289077704555,0.866666666666667,0.861878453038674,0.946808157975977,0.777777777777778,0.853658536585366,-0.0095190802714219,0.088888888888889,0.00821991645330811
"moi_0.25_quality_0.9_genes_400_replicates_6",20250724,0.25,0.9,400,6,FALSE,0.954678377855369,0.835443037974684,0.904109589041096,0.944405259258771,0.860759493670886,0.900662251655629,0.0102731185965981,-0.025316455696202,0.00344733738546699
"moi_0.25_quality_0.9_genes_400_replicates_6",20250725,0.25,0.9,400,6,FALSE,0.930448475584845,0.85,0.85,0.954243652287563,0.883333333333333,0.883333333333333,-0.023795176702718,-0.033333333333333,-0.033333333333333
"moi_0.25_quality_0.9_genes_400_replicates_6",20250726,0.25,0.9,400,6,FALSE,0.959281263171474,0.902173913043478,0.902173913043478,0.964670676549174,0.902173913043478,0.922222222222222,-0.00538941337770005,0,-0.020048309178744
"moi_0.25_quality_0.9_genes_400_replicates_6",20250727,0.25,0.9,400,6,FALSE,0.950549386908531,0.843137254901961,0.900523560209424,0.953354005960742,0.843137254901961,0.900523560209424,-0.00280461905221108,0,0
"moi_0.25_quality_0.9_genes_400_replicates_6",20250728,0.25,0.9,400,6,FALSE,0.951375656672159,0.911111111111111,0.906077348066298,0.957488810983995,0.911111111111111,0.926553672316384,-0.00611315431183601,0,-0.0204763242500859
"moi_0.4_quality_0.9_genes_400_replicates_4",20250724,0.4,0.9,400,4,FALSE,0.909434680407799,0.569620253164557,0.725806451612903,0.894087490908663,0.683544303797468,0.805970149253731,0.0153471894991359,-0.113924050632911,-0.080163697640828
"moi_0.4_quality_0.9_genes_400_replicates_4",20250725,0.4,0.9,400,4,FALSE,0.874659546523116,0.65,0.757281553398058,0.910578231410008,0.7,0.792452830188679,-0.0359186848868921,-0.0499999999999999,-0.0351712767906209
"moi_0.4_quality_0.9_genes_400_replicates_4",20250726,0.4,0.9,400,4,FALSE,0.935127836681189,0.880434782608696,0.89010989010989,0.951939968458783,0.804347826086957,0.875739644970414,-0.016812131777594,0.076086956521739,0.0143702451394759
"moi_0.4_quality_0.9_genes_400_replicates_4",20250727,0.4,0.9,400,4,FALSE,0.942400919127105,0.823529411764706,0.88421052631579,0.936243449254767,0.794117647058823,0.861702127659574,0.00615746987233801,0.0294117647058829,0.022508398656216
"moi_0.4_quality_0.9_genes_400_replicates_4",20250728,0.4,0.9,400,4,FALSE,0.905605140135914,0.666666666666667,0.784313725490196,0.91539310263591,0.7,0.818181818181818,-0.00978796249999603,-0.033333333333333,-0.0338680926916221
