"gene","n_guides","estimate","std_error","statistic","p_value","fdr","guide_direction_agreement","raw_statistic","converged_fraction","control_gene","null_center","null_scale"
"GPR65",6,0.0126944622512649,0.0324597043239763,0,1,1,0.5,0.39108373029412,1,FALSE,0.39108373029412,1.72154762459496
"H2AFB3",6,-0.028627230852414,0.0371742390783676,-0.674489750196082,0.5,0.891317224526169,0.833333333333333,-0.770082496969595,1,FALSE,0.39108373029412,1.72154762459496
"IFNG",6,-0.537537024863605,0.0715016997715562,-4.59406713102572,4.34689437419341e-06,0.000160835091845156,1,-7.517821626353,1,FALSE,0.39108373029412,1.72154762459496
"IL2",6,-0.0640347402873501,0.0310508357025478,-1.42507745149758,0.154134813825823,0.407356293682532,0.833333333333333,-2.06225497119538,1,FALSE,0.39108373029412,1.72154762459496
"JMJD8",6,-0.0179635480885343,0.0386151976110669,-0.497388196084866,0.618915327889889,0.891317224526169,0.666666666666667,-0.465193737177355,1,FALSE,0.39108373029412,1.72154762459496
"LCP2",6,0.0693243658198515,0.0505329914253348,0.569708175705447,0.56887564397946,0.891317224526169,0.833333333333333,1.37186348689216,1,FALSE,0.39108373029412,1.72154762459496
"LRIG3",6,0.0134160623255938,0.0325120168348116,0.0125268743802063,0.990005261737622,1,0.666666666666667,0.412649341126964,1,FALSE,0.39108373029412,1.72154762459496
"MED12",6,0.246478167503633,0.0393627143173513,3.4100903943868,0.000649413514305439,0.00773586425709028,1,6.26171674840483,1,FALSE,0.39108373029412,1.72154762459496
"NFKBIA",6,0.250669052806384,0.0531436995891257,2.51269974369152,0.011981125846906,0.0738836093892537,1,4.71681600536663,1,FALSE,0.39108373029412,1.72154762459496
"NTCTRL",52,-0.0190140396053174,0.0121436504488248,-1.13667696130134,0.255673353872641,0.630660939552514,0.653846153846154,-1.56575979236602,1,TRUE,0.39108373029412,1.72154762459496
"P2RY8",6,-0.105224876095906,0.0314556679986262,-2.1702936496194,0.0299846073962071,0.108616029592462,1,-3.3451801468817,1,FALSE,0.39108373029412,1.72154762459496
"PPIAL4D",6,0.0030373472464847,0.0333644513674108,-0.174289862170097,0.861637666126177,0.937664519019664,0.5,0.0910354320842057,1,FALSE,0.39108373029412,1.72154762459496
"PPP6C",6,0.0712113894239911,0.0508979334253752,0.585530158242077,0.558191294356544,0.891317224526169,0.833333333333333,1.39910178334448,1,FALSE,0.39108373029412,1.72154762459496
"PTGER4",6,0.148943507335375,0.036536658402759,2.14078658785047,0.0322912520410023,0.108616029592462,1,4.07654979537286,1,FALSE,0.39108373029412,1.72154762459496
"RASA2",6,0.261504678430007,0.0599965260729471,2.30465883227212,0.0211856882277723,0.0979838080534467,1,4.35866366849399,1,FALSE,0.39108373029412,1.72154762459496
"RHOG",6,0.0477347010583192,0.0366836502167257,0.528692332295214,0.597018897154789,0.891317224526169,0.666666666666667,1.30125275909852,1,FALSE,0.39108373029412,1.72154762459496
"SPTLC2",6,-0.0804676731049514,0.0384506765371613,-1.44279147975983,0.149079220028908,0.407356293682532,1,-2.09275051447228,0.833333333333333,FALSE,0.39108373029412,1.72154762459496
"STAT1",6,0.0326780143075379,0.0331836959635854,0.344850994802906,0.730206393599973,0.937664519019664,0.666666666666667,0.984761141236274,1,FALSE,0.39108373029412,1.72154762459496
"STT3B",6,0.247439814406326,0.0407236704987763,3.30225243804703,0.000959117100401636,0.00773586425709028,1,6.07606857082691,1,FALSE,0.39108373029412,1.72154762459496
"STUB1",6,0.0716983206706717,0.0443489895816102,0.711917971980405,0.476515572484823,0.891317224526169,0.833333333333333,1.61668442386345,1,FALSE,0.39108373029412,1.72154762459496
"TNF",6,-0.266421963114653,0.0371973368964028,-4.38760862520985,1.14603760421602e-05,0.000212016956779963,1,-7.16239347608828,1,FALSE,0.39108373029412,1.72154762459496
"TNFAIP3",6,0.228038821258381,0.0377901346711908,3.27801806225883,0.00104538706176896,0.00773586425709028,0.833333333333333,6.03434793875519,1,FALSE,0.39108373029412,1.72154762459496
"VAV1",6,0.0675719303246297,0.0473022822948693,0.602614393861951,0.546765242620642,0.891317224526169,0.833333333333333,1.4285131085939,1,FALSE,0.39108373029412,1.72154762459496
