"gene","guide","estimate","std_error","t_value","df","p_value","fdr","rho","pearson_null","mean_cpm","converged","control","raw_std_error","raw_t_value","raw_p_value","raw_fdr"
"LCP2","LCP2_1",-0.221473131258586,0.24853088694194,-0.891129203229881,5,0.413681380312706,0.947577862596625,0.000116438145056232,2336.93304844511,957.24136555616,TRUE,FALSE,0.24853088694194,-0.891129203229881,0.413681380312706,0.947577862596625
"STT3B","STT3B_2",0.215604807735139,0.0858141698740977,2.51246161387407,5,0.0536663629604973,0.599274386392219,3.56805293454484e-05,692.713152109223,2475.50013752968,TRUE,FALSE,0.0858141698740977,2.51246161387407,0.0536663629604973,0.599274386392219
"ADORA2A","ADORA2A_2",0.0603304747158131,0.164879721285108,0.365905972217713,5,0.729406439682978,0.974425123313826,0.000132475937825589,2581.5740562185,2449.9126669033,TRUE,FALSE,0.164879721285108,0.365905972217713,0.729406439682978,0.974425123313826
"IFNG","IFNG_5",-0.433008751664331,0.18131474232448,-2.38816075357745,5,0.0625298806200279,0.623559225948781,0.000147698730556618,2627.0706772827,2362.40298848425,TRUE,FALSE,0.18131474232448,-2.38816075357745,0.0625298806200279,0.623559225948781
"SPTLC2","SPTLC2_4",0.15850628195506,0.145285484609221,1.09099874898996,5,0.325034899112101,0.941802826763249,0.000122938261581429,2361.50960780363,2945.43219543621,TRUE,FALSE,0.145285484609221,1.09099874898996,0.325034899112101,0.941802826763249
"ALDH3B1","ALDH3B1_5",0.40185194038502,0.404225575617316,0.99412794396131,5,0.365804991502051,0.947577862596625,0.00145877411801749,28620.5997393091,4667.53678346869,TRUE,FALSE,0.404225575617316,0.99412794396131,0.365804991502051,0.947577862596625
"GNAS","GNAS_2",0.273836182680776,0.158658307519665,1.72594922359698,5,0.144946259396296,0.776911950364146,0.000272916666649785,4847.65336092166,5558.16268515506,TRUE,FALSE,0.158658307519665,1.72594922359698,0.144946259396296,0.776911950364146
"IFNG","IFNG_4",-0.504820387274322,0.157432396547797,-3.20658516508739,5,0.0238193497128691,0.425572381536595,0.000181176287528435,3323.90123304353,3911.02272069163,TRUE,FALSE,0.157432396547797,-3.20658516508739,0.0238193497128691,0.425572381536595
"STUB1","STUB1_2",0.187288060591133,0.232881029762511,0.804222056137966,5,0.45778471067351,0.974425123313826,0.000312351235785796,5857.99953250776,2915.83768447437,TRUE,FALSE,0.232881029762511,0.804222056137966,0.45778471067351,0.974425123313826
"ZC3H12A","ZC3H12A_5",0.150092898366746,0.103241493541817,1.45380402024068,5,0.205742977837617,0.877601473983621,4.20750502500109e-05,781.971174458548,2001.75587537303,TRUE,FALSE,0.103241493541817,1.45380402024068,0.205742977837617,0.877601473983621
"MED12","MED12_6",0.210633805019869,0.196369274653494,1.07264135589209,5,0.332450763688987,0.941802826763249,8.27461836186398e-05,1488.64103788554,1089.54626666686,TRUE,FALSE,0.196369274653494,1.07264135589209,0.332450763688987,0.941802826763249
"STAT1","STAT1_2",0.123806230686187,0.235600186100341,0.525492923988857,5,0.621702700604408,0.974425123313826,0.000566183154549812,10199.434022109,5148.39675960666,TRUE,FALSE,0.235600186100341,0.525492923988857,0.621702700604408,0.974425123313826
"ZC3H12A","ZC3H12A_6",0.1480982230472,0.355019649183312,0.417155003639616,5,0.69387096957611,0.974425123313826,0.00128402487969825,23300.3027515703,5151.97050501658,TRUE,FALSE,0.355019649183312,0.417155003639616,0.69387096957611,0.974425123313826
"STAT1","STAT1_3",-0.0113122050270781,0.163532179311831,-0.0691741837886684,5,0.947532236891893,0.986839913978518,0.000190165123620488,3485.68460406493,3573.37217225874,TRUE,FALSE,0.163532179311831,-0.0691741837886684,0.947532236891893,0.986839913978518
"H2AFB3","H2AFB3_6",0.130428784092084,0.209790566375736,0.621709480770861,5,0.561379196501943,0.974425123313826,0.000193609778759462,3731.30249818822,2216.80723969993,TRUE,FALSE,0.209790566375736,0.621709480770861,0.561379196501943,0.974425123313826
"GPR65","GPR65_1",-0.0108186048993497,0.367136380205465,-0.0294675370860691,5,0.977631736076758,0.99393851929544,0.00104217987932044,19278.9028250893,3882.1997996385,TRUE,FALSE,0.367136380205465,-0.0294675370860691,0.977631736076758,0.99393851929544
"NTCTRL","NTCTRL_49",0.219686343811979,0.177465877052715,1.23790752036643,5,0.270704879191103,0.941802826763249,0.00026308726817478,5048.80558736715,4249.3051506805,TRUE,TRUE,0.177465877052715,1.23790752036643,0.270704879191103,0.941802826763249
"GPR65","GPR65_4",0.0334872972471501,0.112495892713719,0.297675732325348,5,0.7779223842603,0.974425123313826,9.94533101339268e-05,1806.17242236285,3956.8329016954,TRUE,FALSE,0.112495892713719,0.297675732325348,0.7779223842603,0.974425123313826
"NTCTRL","NTCTRL_18",-0.0120996081030198,0.198257048326253,-0.0610299013587077,5,0.953699767613568,0.986839913978518,0.000241342449989393,4533.19844244647,3083.12674537346,TRUE,TRUE,0.198257048326253,-0.0610299013587077,0.953699767613568,0.986839913978518
"H2AFB3","H2AFB3_3",-0.192363100906559,0.161490332725837,-1.19117409481802,5,0.287042554862609,0.941802826763249,0.000149513339668736,2904.7293522221,2906.67079262156,TRUE,FALSE,0.161490332725837,-1.19117409481802,0.287042554862609,0.941802826763249
"NTCTRL","NTCTRL_5",-0.563666931843449,0.404683655633999,-1.39285815969113,5,0.222422840892461,0.877601473983621,0.00170774019188308,30901.2181160702,5665.05995382916,TRUE,TRUE,0.404683655633999,-1.39285815969113,0.222422840892461,0.877601473983621
"ADORA2A","ADORA2A_3",0.109492677149114,0.249193297531644,0.439388531849296,5,0.678720487356501,0.974425123313826,0.000529981444939339,9971.59695205129,4301.78399809366,TRUE,FALSE,0.249193297531644,0.439388531849296,0.678720487356501,0.974425123313826
"RHOG","RHOG_6",-0.515063465384495,0.216828309181544,-2.37544381233562,5,0.0635225497949496,0.623559225948781,0.000394389007224706,7150.35551759912,4498.31024949577,TRUE,FALSE,0.216828309181544,-2.37544381233562,0.0635225497949496,0.623559225948781
"ADORA2A","ADORA2A_1",0.0541855653170391,0.109133480226629,0.496507260691367,5,0.640591822141662,0.974425123313826,5.31176076978852e-05,1049.78618950952,2248.04400211359,TRUE,FALSE,0.109133480226629,0.496507260691367,0.640591822141662,0.974425123313826
"SPTLC2","SPTLC2_1",0.193402418408791,0.176368749045538,1.09657986154257,5,0.322808608496148,0.941802826763249,0.000199725457146673,3814.93648980162,3255.18832445962,TRUE,FALSE,0.176368749045538,1.09657986154257,0.322808608496148,0.941802826763249
"NTCTRL","NTCTRL_46",-0.447400131287739,0.432070659264183,-1.03547908587374,5,0.347904775558066,0.941802826763249,0.00100703481487852,18766.5648568569,2842.18623556419,TRUE,TRUE,0.432070659264183,-1.03547908587374,0.347904775558066,0.941802826763249
"STT3B","STT3B_1",-0.0680256874356934,0.272817850288321,-0.249344708800404,5,0.813013483489549,0.974425123313826,0.000479996604699766,8913.24668029303,3240.93119101204,TRUE,FALSE,0.272817850288321,-0.249344708800404,0.813013483489549,0.974425123313826
"NTCTRL","NTCTRL_25",-0.273889370493414,0.193365062112913,-1.41643670009776,5,0.215822956964474,0.877601473983621,0.000199692070888118,3720.3203749795,2731.56296980369,TRUE,TRUE,0.193365062112913,-1.41643670009776,0.215822956964474,0.877601473983621
"NFKBIA","NFKBIA_2",0.170295608342201,0.135368278650555,1.25801709262927,5,0.263936483729264,0.930723389992669,0.000139543830817108,2559.28071608865,3857.36064086978,TRUE,FALSE,0.135368278650555,1.25801709262927,0.263936483729264,0.930723389992669
"PPP6C","PPP6C_1",0.219943526652968,0.161324346950455,1.36336226248922,5,0.230947127517348,0.881460444263578,6.39522175641025e-05,1184.75614485532,1250.44875907218,TRUE,FALSE,0.161324346950455,1.36336226248922,0.230947127517348,0.881460444263578
"RASA2","RASA2_3",0.203255170335957,0.142604190853511,1.4253099373829,5,0.213387648880561,0.877601473983621,0.000138460579643748,2536.08754743636,3458.58214194493,TRUE,FALSE,0.142604190853511,1.4253099373829,0.213387648880561,0.877601473983621
"NTCTRL","NTCTRL_28",0.155879151173974,0.154877453340282,1.00646768016963,5,0.360385013051328,0.947577862596625,0.000168664370557216,3227.89514656757,3555.21496417232,TRUE,TRUE,0.154877453340282,1.00646768016963,0.360385013051328,0.947577862596625
"VAV1","VAV1_2",-0.0846079435375201,0.353225207078062,-0.239529744316412,5,0.820204224769765,0.974425123313826,0.000365160480340826,7150.02385009316,1469.22792076989,TRUE,FALSE,0.353225207078062,-0.239529744316412,0.820204224769765,0.974425123313826
"P2RY8","P2RY8_5",-0.0080554137019726,0.100795972994356,-0.0799180112326873,5,0.939402562641241,0.986839913978518,8.08347470639695e-05,1493.22874884269,4008.01196460731,TRUE,FALSE,0.100795972994356,-0.0799180112326873,0.939402562641241,0.986839913978518
"RASA2","RASA2_2",0.0729309334857207,0.260719964509185,0.27972899437531,5,0.790888312520759,0.974425123313826,0.000667001323664782,13082.1043222214,4939.07064603916,TRUE,FALSE,0.260719964509185,0.27972899437531,0.790888312520759,0.974425123313826
