"gene","guide","estimate","std_error","t_value","df","p_value","fdr","rho","pearson_null","mean_cpm","converged","control","raw_std_error","raw_t_value","raw_p_value","raw_fdr"
"ZC3H12A","ZC3H12A_2",0.152365729698364,0.115011508933238,1.32478680709084,12,0.209916518816985,0.83966607526794,0.000189271676563401,6689.42898609546,3618.06750311418,TRUE,FALSE,0.115011508933238,1.32478680709084,0.209916518816985,0.83966607526794
"ALDH3B1","ALDH3B1_2",0.139098453443906,0.0996921428222893,1.39528000408078,12,0.188216901032225,0.813582733494132,0.00010217779184232,3594.86638546013,2598.85025500376,TRUE,FALSE,0.0996921428222893,1.39528000408078,0.188216901032225,0.813582733494132
"GNA13","GNA13_6",0.206992580340215,0.0905978040193863,2.28474169523935,12,0.0413225852224551,0.392834664366624,0.000144752971099342,4921.96390555747,4487.57206490835,TRUE,FALSE,0.0905978040193863,2.28474169523935,0.0413225852224551,0.392834664366624
"NFKBIA","NFKBIA_3",0.220117989767641,0.161064025687793,1.36664900077885,12,0.19679521095523,0.824079945875027,0.00114037374783818,41205.6492333717,11257.8771173009,TRUE,FALSE,0.161064025687793,1.36664900077885,0.19679521095523,0.824079945875027
"STT3B","STT3B_2",0.226279372893914,0.119570602478992,1.89243315833982,12,0.0828006910373859,0.496282367351872,0.000139553563482137,5022.48578983467,2484.29746048812,TRUE,FALSE,0.119570602478992,1.89243315833982,0.0828006910373859,0.496282367351872
"NFKBIA","NFKBIA_1",0.276758891760085,0.139170027488106,1.98863862252048,12,0.070036171568968,0.457797414158132,0.00100741118519491,35620.7344381795,13431.1516344096,TRUE,FALSE,0.139170027488106,1.98863862252048,0.070036171568968,0.457797414158132
"PTGER4","PTGER4_2",0.170840097941764,0.0795669835103786,2.14712296991226,12,0.0529143243790425,0.405172540959526,0.000108370470332305,3846.1632873278,4344.55913459442,TRUE,FALSE,0.0795669835103786,2.14712296991226,0.0529143243790425,0.405172540959526
"MED12","MED12_2",0.145488759500648,0.0916893512528596,1.58675743161735,12,0.138552934099261,0.68763308034448,5.35756419271086e-05,1819.03615649268,1615.26292873564,TRUE,FALSE,0.0916893512528596,1.58675743161735,0.138552934099261,0.68763308034448
"H2AFB3","H2AFB3_2",0.0782706404491211,0.158547441320858,0.493673311893581,12,0.630448582222369,0.991470511544439,0.000211511476145807,6895.51504543711,2115.08827106368,TRUE,FALSE,0.158547441320858,0.493673311893581,0.630448582222369,0.991470511544439
"TNFAIP3","TNFAIP3_1",-0.146969870118844,0.30471930663896,-0.482312301573258,12,0.638262096838353,0.991470511544439,0.00552076794709138,216895.059708314,15200.6251177617,TRUE,FALSE,0.30471930663896,-0.482312301573258,0.638262096838353,0.991470511544439
"RASA2","RASA2_1",0.142545389946815,0.16704063657622,0.853357559385093,12,0.410171810377668,0.959432795319881,0.000597274594119067,20150.4242213041,5412.27436430018,TRUE,FALSE,0.16704063657622,0.853357559385093,0.410171810377668,0.959432795319881
"GNAS","GNAS_3",0.279500695390928,0.0966417142316574,2.89213304640835,12,0.0135224547709637,0.233729299373675,0.000202390305020841,7618.03581972125,5564.50608348225,TRUE,FALSE,0.0966417142316574,2.89213304640835,0.0135224547709637,0.233729299373675
"RHOG","RHOG_1",0.197966297679899,0.0901414417387057,2.19617407777598,12,0.0484683295952643,0.392834664366624,0.000102676656677131,3639.24483464605,3212.46950352337,TRUE,FALSE,0.0901414417387057,2.19617407777598,0.0484683295952643,0.392834664366624
"STUB1","STUB1_2",0.148055254711083,0.126912820844349,1.16659021307756,12,0.26603694496555,0.929448909667093,0.000214205621865178,6837.77252277753,3360.63098168802,TRUE,FALSE,0.126912820844349,1.16659021307756,0.26603694496555,0.929448909667093
"TNFAIP3","TNFAIP3_3",0.2277519160345,0.0783150891208464,2.90814859040843,12,0.0131261354351631,0.233729299373675,0.000198907664663553,6833.58637995665,8295.70107627731,TRUE,FALSE,0.0783150891208464,2.90814859040843,0.0131261354351631,0.233729299373675
