gene,guide,estimate,std_error,t_value,df,p_value,fdr,rho,mean_cpm,converged,control,dispersion_boundary,raw_std_error,raw_t_value,raw_p_value,raw_fdr
NFKBIA,NFKBIA_5,0.2103738071838977,0.14703829939838128,1.4307415689970477,5,0.21190981980518442,0.8743268416180361,0.0002789782974966807,6572.296706820426,true,false,false,0.14703829939838128,1.4307415689970477,0.21190981980518442,0.8743268416180361
GNA13,GNA13_6,0.17269215835874593,0.1875605949118117,0.9207272905054673,5,0.39943801497507403,0.9440421243033528,0.0002999133868126555,4318.403094129903,true,false,false,0.1875605949118117,0.9207272905054673,0.39943801497507403,0.9440421243033528
H2AFB3,H2AFB3_2,0.13902012640931102,0.13119975692595712,1.059606585153716,5,0.33780368611565337,0.9382886371111536,0.00004881023378216671,1434.7358315937545,true,false,false,0.13119975692595712,1.059606585153716,0.33780368611565337,0.9382886371111536
CBLB,CBLB_5,0.21648375469412648,0.28779494407625505,0.7522152808798693,5,0.4858038452792419,0.9707892086745932,0.00042544400420496404,2606.840753897495,true,false,false,0.28779494407625505,0.7522152808798693,0.4858038452792419,0.9707892086745932
NTCTRL,NTCTRL_17,-0.7405669604177082,0.3278263333999592,-2.2590221863421553,5,0.07344162684830566,0.6224965525562599,0.0007412072552212463,3955.214638196486,true,true,false,0.3278263333999592,-2.2590221863421553,0.07344162684830566,0.6224965525562599
NTCTRL,NTCTRL_9,0.10305333519553313,0.17731096986086634,0.5812011252118116,5,0.5863184742998816,0.9707892086745932,0.000212957798349133,3411.6914408836983,true,true,false,0.17731096986086634,0.5812011252118116,0.5863184742998816,0.9707892086745932
PPP6C,PPP6C_2,-0.6061700848048102,0.3302907489903436,-1.8352620733635268,5,0.1259125190209566,0.7255107772838819,0.0005013600619858746,2522.5708062266435,true,false,false,0.3302907489903436,-1.8352620733635268,0.1259125190209566,0.7255107772838819
ALDH3B1,ALDH3B1_3,-0.30936758879744886,0.21285198502435781,-1.4534399985137383,5,0.20583897085526304,0.8743268416180361,0.00018977734128315806,2152.5550724122377,true,false,false,0.21285198502435781,-1.4534399985137383,0.20583897085526304,0.8743268416180361
TNFAIP3,TNFAIP3_5,0.21270557636244944,0.04551380470110583,4.6734299133924395,5,0.005465717782721124,0.3022348965904772,0.000023598672342792402,5859.851558626634,true,false,false,0.04551380470110583,4.6734299133924395,0.005465717782721124,0.3022348965904772
CBLB,CBLB_1,0.22560448732308855,0.23499750776315032,0.9600292763550121,5,0.3811314357802694,0.9440421243033528,0.0008020196558730001,7410.08795260447,true,false,false,0.23499750776315032,0.9600292763550121,0.3811314357802694,0.9440421243033528
LCP2,LCP2_1,-0.22147313125858625,0.24853088694193923,-0.8911292032298823,5,0.4136813803127052,0.9440421243033528,0.00011643814505623144,957.2413655561594,true,false,false,0.24853088694193923,-0.8911292032298823,0.4136813803127052,0.9440421243033528
STT3B,STT3B_2,0.21560480773513466,0.08581416987409764,2.51246161387402,5,0.05366636296050035,0.5970382879355663,0.000035680529345448365,2475.500137529675,true,false,false,0.08581416987409764,2.51246161387402,0.05366636296050035,0.5970382879355663
ADORA2A,ADORA2A_2,0.06033047471581282,0.16487972128510828,0.3659059722177114,5,0.7294064396829796,0.9707892086745932,0.00013247593782558892,2449.9126669033,true,false,false,0.16487972128510828,0.3659059722177114,0.7294064396829796,0.9707892086745932
IFNG,IFNG_5,-0.43300875166433017,0.18131474232447994,-2.3881607535774445,5,0.06252988062002802,0.6212325124191653,0.00014769873055661814,2362.402988484252,true,false,false,0.18131474232447994,-2.3881607535774445,0.06252988062002802,0.6212325124191653
