gene,guide,estimate,std_error,t_value,df,p_value,fdr,rho,mean_cpm,converged,control,dispersion_boundary,raw_std_error,raw_t_value,raw_p_value,raw_fdr
ZC3H12A,ZC3H12A_6,0.21545298881117497,0.10729699763488827,2.008005755616028,7,0.08461430152118775,0.41837071307698387,0.000176333621765518,3897.4942611068263,true,false,false,0.10729699763488827,2.008005755616028,0.08461430152118775,0.41837071307698387
PPP6C,PPP6C_5,0.03405457123187636,0.0850846403764492,0.40024346440444514,7,0.7009104162185036,0.9538709853204885,0.00006917538320754228,2408.617937554965,true,false,false,0.0850846403764492,0.40024346440444514,0.7009104162185036,0.9538709853204885
ADRB1,ADRB1_1,-0.013931665877314656,0.07903873316369392,-0.17626378004391022,7,0.865077766178837,0.9734271154158561,0.00007564881018587256,3052.2378313230806,true,false,false,0.07903873316369392,-0.17626378004391022,0.865077766178837,0.9734271154158561
FDXR,FDXR_4,-0.02961950441795732,0.1581194305421543,-0.18732362187492715,7,0.8567208663284078,0.9734271154158561,0.00005407603296260671,544.9334696060848,true,false,false,0.1581194305421543,-0.18732362187492715,0.8567208663284078,0.9734271154158561
NTCTRL,NTCTRL_24,0.08821155969315729,0.09731592551352275,0.9064452629688001,7,0.3948303809344176,0.8235914977303866,0.00014410037951221994,3836.6350527159834,true,true,false,0.09731592551352275,0.9064452629688001,0.3948303809344176,0.8235914977303866
NTCTRL,NTCTRL_34,0.04992701298636773,0.05721224348720094,0.8726630864866712,7,0.4117784416858059,0.8453698970906168,0.000044097303210483497,3410.7231124078476,true,true,false,0.05721224348720094,0.8726630864866712,0.4117784416858059,0.8453698970906168
SPTLC2,SPTLC2_1,-0.0153674193111903,0.08520831754106058,-0.18035116470625037,7,0.8619870866443113,0.9734271154158561,0.0000622826955567533,2162.341510761458,true,false,false,0.08520831754106058,-0.18035116470625037,0.8619870866443113,0.9734271154158561
LRIG3,LRIG3_4,0.08169686344239596,0.07520922024877538,1.08626127451077,7,0.3133479516843586,0.746999134818962,0.00007712035045755128,3442.687125801599,true,false,false,0.07520922024877538,1.08626127451077,0.3133479516843586,0.746999134818962
TNFAIP3,TNFAIP3_4,0.16224577931633738,0.04592134909726636,3.5331231008192585,7,0.009557659069140658,0.1089925487855243,0.00004776147107079003,5777.103428864869,true,false,false,0.04592134909726636,3.5331231008192585,0.009557659069140658,0.1089925487855243
H2AFB3,H2AFB3_6,-0.04635159538817596,0.0694606143009465,-0.6673075937300537,7,0.525954979538195,0.9117909851828856,0.00003380058895002792,1775.1555334191983,true,false,false,0.0694606143009465,-0.6673075937300537,0.525954979538195,0.9117909851828856
FAM76A,FAM76A_1,0.007354931176140107,0.07224015097404862,0.10181223429035018,7,0.921760759772758,0.985060118316839,0.00005735155412838722,2773.278951249647,true,false,false,0.07224015097404862,0.10181223429035018,0.921760759772758,0.985060118316839
RHOG,RHOG_3,0.09472112219929482,0.08629876827186213,1.0975952970835021,7,0.30869601931350477,0.746999134818962,0.00010829825532403459,3669.9884135358916,true,false,false,0.08629876827186213,1.0975952970835021,0.30869601931350477,0.746999134818962
CBLB,CBLB_3,-1.1585120214771547,0.5531599076095288,-2.0943528363862174,7,0.07448973574435384,0.38997567536749955,0.02870426086167103,33132.31961778808,true,false,false,0.5531599076095288,-2.0943528363862174,0.07448973574435384,0.38997567536749955
STAT1,STAT1_2,0.08797203711403707,0.07085937806039237,1.2415016829396928,7,0.25440526007330877,0.6853169461966255,0.00006008992920492121,3025.753941109609,true,false,false,0.07085937806039237,1.2415016829396928,0.25440526007330877,0.6853169461966255
GOLGA1,GOLGA1_1,-0.043936812250293174,0.06779109532534534,-0.6481207013905015,7,0.5375778839717735,0.9117909851828856,0.00005877321152181021,3230.719725970126,true,false,false,0.06779109532534534,-0.6481207013905015,0.5375778839717735,0.9117909851828856
LRIG3,LRIG3_5,0.06225199448615109,0.10439526106841877,0.5963105398563279,7,0.5697407650506,0.9163902666777722,0.00013555858001027034,3131.17010684474,true,false,false,0.10439526106841877,0.5963105398563279,0.5697407650506,0.9163902666777722
GNA13,GNA13_2,0.14613425993351595,0.08122369530317324,1.7991579844780443,7,0.11502611430545973,0.47249188491627303,0.00017924468877879318,6900.467404814532,true,false,false,0.08122369530317324,1.7991579844780443,0.11502611430545973,0.47249188491627303
ALDH3B1,ALDH3B1_6,0.04769238012469503,0.0924669351666663,0.5157776673221868,7,0.6218958293847296,0.9434442411688796,0.00011180511292918403,3293.277432371074,true,false,false,0.0924669351666663,0.5157776673221868,0.6218958293847296,0.9434442411688796
RASA2,RASA2_2,0.10748623376628086,0.07565809292443455,1.4206838900054681,7,0.19838429524801393,0.6339589497251732,0.00014023966378601678,6202.660145474909,true,false,false,0.07565809292443455,1.4206838900054681,0.19838429524801393,0.6339589497251732
FBXO45,FBXO45_2,0.003464216459251459,0.08979362354373172,0.038579760149274965,7,0.9703026633607816,0.985060118316839,0.00010428905802337718,3256.248941977202,true,false,false,0.08979362354373172,0.038579760149274965,0.9703026633607816,0.985060118316839
CDKN1B,CDKN1B_2,0.035867716608689384,0.09148588182814585,0.3920573960916295,7,0.7066786016889467,0.9538709853204885,0.00014691475765381555,4420.606104214569,true,false,false,0.09148588182814585,0.3920573960916295,0.7066786016889467,0.9538709853204885
GPR65,GPR65_5,0.05168825332615877,0.08310282332114173,0.6219795099670103,7,0.5536655783708526,0.9163902666777722,0.00008563442011291482,3125.7368235734793,true,false,false,0.08310282332114173,0.6219795099670103,0.5536655783708526,0.9163902666777722
STAT1,STAT1_3,0.027114366828040113,0.0849305967660469,0.3192532239321289,7,0.7588506715256432,0.9734271154158561,0.00008880668187459766,3101.141261362761,true,false,false,0.0849305967660469,0.3192532239321289,0.7588506715256432,0.9734271154158561
LCP2,LCP2_1,0.16257194909111056,0.10118586194255136,1.6066666426522251,7,0.15216274515953604,0.582768459999358,0.00005022978535741489,1245.536500256055,true,false,false,0.10118586194255136,1.6066666426522251,0.15216274515953604,0.582768459999358
STAT1,STAT1_5,-0.04722162986736074,0.07451249175695304,-0.6337411184877509,7,0.5463916016077217,0.9117909851828856,0.00005332518453740396,2425.3666047882875,true,false,false,0.07451249175695304,-0.6337411184877509,0.5463916016077217,0.9117909851828856
STAT1,STAT1_4,0.09371355201324243,0.09093225431172076,1.0305864813599277,7,0.3370220170645528,0.758206576096652,0.0000886572448906491,2705.16506372098,true,false,false,0.09093225431172076,1.0305864813599277,0.3370220170645528,0.758206576096652
GPR65,GPR65_2,0.10419517866528163,0.07469964691336894,1.3948550357422627,7,0.20572157300318927,0.6379539699253443,0.00010779996621775697,4883.716980585328,true,false,false,0.07469964691336894,1.3948550357422627,0.20572157300318927,0.6379539699253443
LCP2,LCP2_2,0.0024397870208489165,0.16935717353477112,0.01440616284463438,7,0.9889079394086383,0.9996113919869758,0.00021663113883273484,1895.267655586512,true,false,false,0.16935717353477112,0.01440616284463438,0.9889079394086383,0.9996113919869758
NTCTRL,NTCTRL_25,0.062326325193454546,0.08091661453563108,0.7702537427095343,7,0.4663444232830375,0.8768588803983874,0.00009245446749361823,3561.428641937835,true,true,false,0.08091661453563108,0.7702537427095343,0.4663444232830375,0.8768588803983874
NTCTRL,NTCTRL_4,0.030018865119142722,0.07623506064860265,0.39376718354710133,7,0.7054721017890019,0.9538709853204885,0.00008409137923575683,3648.3201987601624,true,true,false,0.07623506064860265,0.39376718354710133,0.7054721017890019,0.9538709853204885
ADRB2,ADRB2_3,0.07951917582022751,0.05072869615475272,1.5675383332866804,7,0.16097438286892474,0.6053543693803226,0.00002577246268973819,2550.8201611156333,true,false,false,0.05072869615475272,1.5675383332866804,0.16097438286892474,0.6053543693803226
STT3B,STT3B_5,0.07538977393677229,0.053211099030646435,1.4168054280057674,7,0.1994709388494854,0.6339589497251732,0.000040366782579534466,3615.7495960401857,true,false,false,0.053211099030646435,1.4168054280057674,0.1994709388494854,0.6339589497251732
CBLB,CBLB_2,-0.10250986006993319,0.10252510602577318,-0.9998512953906514,7,0.3506837856123518,0.758206576096652,0.0001881455281828837,4515.7252850366685,true,false,false,0.10252510602577318,-0.9998512953906514,0.3506837856123518,0.758206576096652
FDXR,FDXR_3,0.054066903848620514,0.15711589232880713,0.34412116462076936,7,0.7408611334195276,0.9649264518195799,0.00012019036404311298,1223.4892886247646,true,false,false,0.15711589232880713,0.34412116462076936,0.7408611334195276,0.9649264518195799
STUB1,STUB1_1,0.04145812262447009,0.06771146682155364,0.6122762446385713,7,0.55971014941618,0.9163902666777722,0.000057790175423325863,3183.892663543809,true,false,false,0.06771146682155364,0.6122762446385713,0.55971014941618,0.9163902666777722
GOLGA1,GOLGA1_4,0.009956170700463176,0.06597625779980243,0.15090535644919512,7,0.8843070137366087,0.9734271154158561,0.00005767034359096985,3345.082952937613,true,false,false,0.06597625779980243,0.15090535644919512,0.8843070137366087,0.9734271154158561
GNA13,GNA13_1,0.09912389602979589,0.04970651000339434,1.9941833780530347,7,0.08635691229344342,0.41922355604271627,0.00007425789321201798,7636.801863468471,true,false,false,0.04970651000339434,1.9941833780530347,0.08635691229344342,0.41922355604271627
ADORA2A,ADORA2A_6,0.06529890311423857,0.058886283768738466,1.1088983534889738,7,0.3041126525856107,0.746999134818962,0.00004829884919598164,3525.5716478927307,true,false,false,0.058886283768738466,1.1088983534889738,0.3041126525856107,0.746999134818962
PPIAL4D,PPIAL4D_3,-0.06973784419778424,0.056103617345815995,-1.243018676815944,7,0.25387879119798373,0.6853169461966255,0.000020114769244927398,1632.4290964737045,true,false,false,0.056103617345815995,-1.243018676815944,0.25387879119798373,0.6853169461966255
ADORA2A,ADORA2A_4,0.05918626374228787,0.1090156155829854,0.5429154660621424,7,0.6040365574030209,0.9434442411688796,0.00016341898992115877,3460.79168113121,true,false,false,0.1090156155829854,0.5429154660621424,0.6040365574030209,0.9434442411688796
NTCTRL,NTCTRL_31,0.018070513471011938,0.094254696522138,0.1917200323993154,7,0.8534043060398491,0.9734271154158561,0.0001228730268769929,3480.945306645623,true,true,false,0.094254696522138,0.1917200323993154,0.8534043060398491,0.9734271154158561
NTCTRL,NTCTRL_48,0.08102756986544608,0.07791588968415668,1.0399364005712193,7,0.33295002140323215,0.758206576096652,0.00009714476387983598,4039.309971216511,true,true,false,0.07791588968415668,1.0399364005712193,0.33295002140323215,0.758206576096652
CBLB,CBLB_6,0.029616042681641412,0.07671913279262227,0.38603203143205306,7,0.7109375508568435,0.9538709853204885,0.00007671779284671695,3286.1864661947347,true,false,false,0.07671913279262227,0.38603203143205306,0.7109375508568435,0.9538709853204885
DGKZ,DGKZ_2,-0.005132992626748804,0.08896228589655458,-0.05769852443671976,7,0.9556012745332015,0.985060118316839,0.00011186376304946709,3558.348588763057,true,false,false,0.08896228589655458,-0.05769852443671976,0.9556012745332015,0.985060118316839
RHOG,RHOG_4,0.0279316978106699,0.09594958154420737,0.2911080732311561,7,0.7794053088007906,0.9734271154158561,0.00010178935776055082,2782.7839546421287,true,false,false,0.09594958154420737,0.2911080732311561,0.7794053088007906,0.9734271154158561
NTCTRL,NTCTRL_6,0.07035043528782639,0.10651206869820751,0.660492619734559,7,0.530065218831242,0.9117909851828856,0.00018516296500521536,4110.631336893704,true,true,false,0.10651206869820751,0.660492619734559,0.530065218831242,0.9117909851828856
FAM76A,FAM76A_2,0.03221448690636814,0.07327357075283597,0.43964674541429133,7,0.6734462375516052,0.9520251630197832,0.00007243365434736765,3403.4540053028218,true,false,false,0.07327357075283597,0.43964674541429133,0.6734462375516052,0.9520251630197832
LCP2,LCP2_4,0.004612205010698189,0.10708700785975322,0.04306969727586912,7,0.9668487824230829,0.985060118316839,0.0000824600876452371,1809.2595762723117,true,false,false,0.10708700785975322,0.04306969727586912,0.9668487824230829,0.985060118316839
CDKN1B,CDKN1B_3,0.03282014491705277,0.05458992891710464,0.6012124501369198,7,0.5666499176659656,0.9163902666777722,0.00005184576494925463,4402.836751562978,true,false,false,0.05458992891710464,0.6012124501369198,0.5666499176659656,0.9163902666777722
JMJD8,JMJD8_2,-0.010177484025491944,0.06840951588229514,-0.14877292865225417,7,0.8859280488616218,0.9734271154158561,0.00004377987851019168,2364.6184401663236,true,false,false,0.06840951588229514,-0.14877292865225417,0.8859280488616218,0.9734271154158561
STUB1,STUB1_6,0.10986846920397662,0.07616531967547992,1.4424999418645759,7,0.19237021458141845,0.6339589497251732,0.00011150013448989967,4860.088964505113,true,false,false,0.07616531967547992,1.4424999418645759,0.19237021458141845,0.6339589497251732
IL2,IL2_1,0.028099101623593296,0.07859355115917793,0.3575242651484639,7,0.7312360380135803,0.9649264518195799,0.0000656506254858462,2680.3522870540337,true,false,false,0.07859355115917793,0.3575242651484639,0.7312360380135803,0.9649264518195799
NTCTRL,NTCTRL_12,0.028904578757927096,0.06891833983894081,0.4194032941808501,7,0.687492716104634,0.9520251630197832,0.00008333222545076465,4427.074168675626,true,true,false,0.06891833983894081,0.4194032941808501,0.687492716104634,0.9520251630197832
NTCTRL,NTCTRL_15,0.08191506479056368,0.08074244489743833,1.0145229673762648,7,0.3441092632288614,0.758206576096652,0.00007841821025906665,3036.0489603824994,true,true,false,0.08074244489743833,1.0145229673762648,0.3441092632288614,0.758206576096652
GOLGA1,GOLGA1_2,0.01668729422904039,0.08572718615394227,0.19465580264205373,7,0.8511913868696948,0.9734271154158561,0.0000905439351268454,3102.8906235708405,true,false,false,0.08572718615394227,0.19465580264205373,0.8511913868696948,0.9734271154158561
FAM76A,FAM76A_6,0.033140206041691975,0.07680609370625406,0.4314788637531436,7,0.6790973636559805,0.9520251630197832,0.00009076067157128924,3878.6532071010847,true,false,false,0.07680609370625406,0.4314788637531436,0.6790973636559805,0.9520251630197832
GNA13,GNA13_4,0.07140489681061551,0.05002234870800916,1.4274598985229727,7,0.19649853879416868,0.6339589497251732,0.00004038826732478195,4095.281391255059,true,false,false,0.05002234870800916,1.4274598985229727,0.19649853879416868,0.6339589497251732
ADRB2,ADRB2_4,-0.004455568405112465,0.0857540326127249,-0.05195753796482465,7,0.9600141438322191,0.985060118316839,0.00010848830139117617,3715.217607070211,true,false,false,0.0857540326127249,-0.05195753796482465,0.9600141438322191,0.985060118316839
LRIG3,LRIG3_1,0.04579551168429189,0.08553944826072725,0.5353730076058658,7,0.6089718644125253,0.9434442411688796,0.00007817115488707636,2692.533402941437,true,false,false,0.08553944826072725,0.5353730076058658,0.6089718644125253,0.9434442411688796
LRIG3,LRIG3_6,-0.014774166515851625,0.06429801983238571,-0.22977638431736203,7,0.8248354516505274,0.9734271154158561,0.00006454430931536236,3941.8319504884794,true,false,false,0.06429801983238571,-0.22977638431736203,0.8248354516505274,0.9734271154158561
LRIG3,LRIG3_3,0.02039912747934092,0.0996545151958518,0.20469847692550963,7,0.8436324299958113,0.9734271154158561,0.00011958132528558312,3029.316471613407,true,false,false,0.0996545151958518,0.20469847692550963,0.8436324299958113,0.9734271154158561
NTCTRL,NTCTRL_37,-0.00763842942799074,0.05101998404973573,-0.14971446130881935,7,0.8852122391170296,0.9734271154158561,0.00003203328600429785,3122.9758265860396,true,true,false,0.05101998404973573,-0.14971446130881935,0.8852122391170296,0.9734271154158561
NTCTRL,NTCTRL_7,0.007662828313768465,0.07704526844322847,0.09945877882708518,7,0.9235624305879366,0.985060118316839,0.00008541191590581937,3627.1050348023605,true,true,false,0.07704526844322847,0.09945877882708518,0.9235624305879366,0.985060118316839
FAM76A,FAM76A_4,0.06022012240678251,0.07692233157871162,0.7828691768808596,7,0.4593649290069147,0.8698612485450087,0.00007499009083040067,3197.51631858341,true,false,false,0.07692233157871162,0.7828691768808596,0.4593649290069147,0.8698612485450087
GNAS,GNAS_4,-0.01853265765447147,0.06256127225294404,-0.29623210953161766,7,0.7756484833347217,0.9734271154158561,0.000054870485636829106,3541.8544045094754,true,false,false,0.06256127225294404,-0.29623210953161766,0.7756484833347217,0.9734271154158561
NTCTRL,NTCTRL_30,-0.05692816239066688,0.042541543759166016,-1.3381781045122774,7,0.22267114400440668,0.6485585088450666,0.000026306304868145376,3702.7817313919704,true,true,false,0.042541543759166016,-1.3381781045122774,0.22267114400440668,0.6485585088450666
