"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"FOXF2",6,-0.685382295933516,1.8910585727407e-06,0.000578602921369211,0.833333333333333,1.6840302347606,1.4966805594784,2.50795346627309e-05,-1.035,3.0679e-08,2.615e-07,7.7e-05,FALSE,62,74
"ZSWIM8",6,-0.525034232636366,0.000341585536719908,0.0410118837441561,1,1.6840302347606,1.4966805594784,0.00664255887289016,-0.8207,7.0664e-09,2.615e-07,7.7e-05,FALSE,158,62
"ARHGDIB",6,-0.80728962264068,2.04946067197036e-06,0.000617115380115521,1,1.6840302347606,1.4966805594784,2.73056738707288e-05,-1.2432,2.6735e-08,2.615e-07,7.7e-05,FALSE,63,73
"DEF6",6,0.83548943720485,2.75911094414643e-06,0.000793035372885723,1,1.6840302347606,1.4966805594784,3.78647292781288e-05,1.268,8.7479e-09,2.615e-07,0.000127,TRUE,66,63
"LPAR5",6,-0.656171343263618,2.48233912087166e-06,0.000735780830045864,1,1.6840302347606,1.4966805594784,3.41933807341722e-05,-0.7758,1.061e-06,1.3075e-06,0.000344,FALSE,64,126
"SLC5A10",6,0.598997256400427,7.3368488108112e-05,0.0124267876733115,0.833333333333333,1.6840302347606,1.4966805594784,0.00136698751407485,0.42731,9.3389e-09,2.615e-07,0.000127,TRUE,112,64
"CD247",6,0.829224410212632,2.60466762702443e-06,0.000760162228994668,1,1.6840302347606,1.4966805594784,3.57640550437162e-05,1.0509,1.2343e-07,1.8305e-06,0.000707,TRUE,65,96
"CREB5",6,0.725935422732901,3.06100477908758e-06,0.000864455915329413,0.833333333333333,1.6840302347606,1.4966805594784,4.2494810154723e-05,0.91584,2.5528e-05,8.3942e-05,0.012376,TRUE,67,262
"CD44",6,-0.519841129007959,0.000289750127109546,0.0366437327417873,0.833333333333333,1.6840302347606,1.4966805594784,0.00569540681286398,-1.0463,1.9605e-08,2.615e-07,7.7e-05,FALSE,150,68
"AKAP12",6,0.670466292586441,1.36938287964696e-05,0.00295195377578441,1,1.6840302347606,1.4966805594784,0.000212142086902835,1.1963,1.9724e-08,2.615e-07,0.000127,TRUE,88,69
"PLAGL1",5,0.625324300473363,3.17912734462404e-06,0.000865755871705419,1,1.6840302347606,1.4966805594784,4.291634294377e-05,0.85711,5.1149e-07,2.8765e-06,0.000923,TRUE,69,117
"ATP2A2",6,-0.676211792934048,3.19467111330413e-06,0.000865755871705419,1,1.6840302347606,1.4966805594784,4.291634294377e-05,-1.0262,4.4445e-08,2.615e-07,7.7e-05,FALSE,70,79
"NFKBIA",6,-0.763993215938066,7.99248897477654e-06,0.0019438143057886,1,1.6840302347606,1.4966805594784,0.000121785700155918,-1.2601,2.1297e-08,2.615e-07,7.7e-05,FALSE,78,70
"GNA11",6,0.553741015348898,0.000123263125248869,0.0184263115940359,0.833333333333333,1.6840302347606,1.4966805594784,0.00231087924000133,0.82408,2.2973e-08,2.615e-07,0.000127,TRUE,126,71
"MIPEP",6,-0.505900499510846,0.000819291514961262,0.0720717844159639,0.5,1.6840302347606,1.4966805594784,0.0145427858962501,-0.68462,2.6479e-08,2.615e-07,7.7e-05,FALSE,215,72
"ZAP70",6,0.567780168237838,4.21061187524891e-06,0.00110937926768711,1,1.6840302347606,1.4966805594784,5.90154692319618e-05,0.79376,7.9138e-08,7.8451e-07,0.000345,TRUE,72,89
"UBASH3B",6,-0.750630121892446,5.84853804676098e-06,0.00149928063171697,1,1.6840302347606,1.4966805594784,8.67396033608167e-05,-1.0304,1.2159e-06,1.3075e-06,0.000344,FALSE,74,129
"CST5",6,-0.576169110921464,6.69930015806066e-06,0.00167336760884616,1,1.6840302347606,1.4966805594784,0.000100243953528058,-0.8952,1.1103e-07,2.615e-07,7.7e-05,FALSE,75,94
"PRKD2",6,0.575107733851179,9.70732146992568e-05,0.0154746124608815,1,1.6840302347606,1.4966805594784,0.00182692754143247,0.98005,3.5474e-08,2.615e-07,0.000127,TRUE,119,75
"LMO4",6,-0.568826117533611,9.61648591828061e-06,0.00228030922337229,1,1.6840302347606,1.4966805594784,0.000149766593174676,-0.99553,3.6058e-08,2.615e-07,7.7e-05,FALSE,80,76
"STAT4",6,0.602962018406219,6.70405578662668e-06,0.00167336760884616,0.833333333333333,1.6840302347606,1.4966805594784,0.000100243953528058,0.80722,9.0637e-06,2.3274e-05,0.00421,TRUE,76,201
"WLS",6,-0.532593991563442,0.000395962988476343,0.0448842938928642,0.833333333333333,1.6840302347606,1.4966805594784,0.00760481938718684,-0.99275,3.6481e-08,2.615e-07,7.7e-05,FALSE,166,77
"RHCE",6,-0.557619874146202,0.000408143491704807,0.0448842938928642,1,1.6840302347606,1.4966805594784,0.00760631146427484,-0.87491,4.0005e-08,2.615e-07,7.7e-05,FALSE,171,78
"PSTPIP1",6,-0.61747403076015,9.09324103038294e-06,0.00218352889046031,1,1.6840302347606,1.4966805594784,0.000141379789455304,-0.92288,5.224e-08,2.615e-07,7.7e-05,FALSE,79,82
"BCL9",6,0.541424594604929,1.07937560739377e-05,0.00250565627772432,0.833333333333333,1.6840302347606,1.4966805594784,0.000169630196735674,0.47629,1.3484e-05,2.5889e-05,0.004415,TRUE,81,221
