"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"RASA2",5,0.29496038367605,1.74327817411767e-05,0.00168398901794209,1,1.15494334255549,0.978166727433865,3.77464193140006e-05,0.86407,3.5708e-11,2.6138e-07,4.9e-05,TRUE,197,47
"CPSF6",6,0.451663479289828,1.28947093228816e-11,5.11221496696744e-09,0.833333333333333,1.15494334255549,0.978166727433865,5.16443565343543e-13,0.76625,6.2366e-11,2.6138e-07,4.9e-05,TRUE,48,52
"PCBP2",6,0.436865985460618,1.86134747969525e-11,6.81181587280782e-09,0.833333333333333,1.15494334255549,0.978166727433865,7.92939485121059e-13,0.66513,3.8278e-11,2.6138e-07,4.9e-05,TRUE,52,49
"CDK12",6,0.397945980706907,1.55219949382856e-11,5.90767127351148e-09,1,1.15494334255549,0.978166727433865,6.41111895630817e-13,0.47504,3.5552e-08,2.6138e-07,4.9e-05,TRUE,50,107
"METAP2",6,0.504806615064778,1.75851581120964e-11,6.56167762496461e-09,1,1.15494334255549,0.978166727433865,7.47242967028732e-13,0.76678,3.5297e-10,2.6138e-07,4.9e-05,TRUE,51,62
"RPLP1",6,0.486179008964744,6.99714534626972e-11,2.25687586338157e-08,1,1.15494334255549,0.978166727433865,4.3794179480587e-12,0.6623,6.4305e-11,2.6138e-07,4.9e-05,TRUE,59,53
"TAF8",6,-0.614685674907754,2.26028150658687e-11,8.11569001327322e-09,1,1.15494334255549,0.978166727433865,1.01827178254254e-12,-0.74785,1.0172e-08,2.6138e-07,0.00015,FALSE,53,89
"ADSS",6,0.507402847729045,1.46016902538651e-10,4.55524861526315e-08,1,1.15494334255549,0.978166727433865,1.17380535670922e-11,0.74693,6.6591e-11,2.6138e-07,4.9e-05,TRUE,61,54
"RPS13",6,0.655701949176544,3.13256759042791e-11,1.10394002307117e-08,1,1.15494334255549,0.978166727433865,1.57107059068494e-12,0.93799,1.532e-09,2.6138e-07,4.9e-05,TRUE,54,71
"RPL26",6,0.671463090674824,3.66973008380095e-11,1.24705291954879e-08,1,1.15494334255549,0.978166727433865,1.88651974958961e-12,0.99329,2.6313e-09,2.6138e-07,4.9e-05,TRUE,56,77
"RPL37A",6,0.461739522547999,2.46997355782035e-08,5.22262186725792e-06,1,1.15494334255549,0.978166727433865,9.66605999068977e-09,0.73303,1.2723e-10,2.6138e-07,4.9e-05,TRUE,90,56
"DLST",6,0.606801235000411,5.67869230407895e-11,1.89588622011618e-08,1,1.15494334255549,0.978166727433865,3.39427581139498e-12,0.91729,4.4291e-09,2.6138e-07,4.9e-05,TRUE,57,85
"KIDINS220",6,-0.542393115186823,3.27783030744261e-08,6.78012073376444e-06,0.833333333333333,1.15494334255549,0.978166727433865,1.39845343765904e-08,-0.86848,2.187e-10,2.6138e-07,0.00015,FALSE,92,58
"WDR5",6,0.622344122998325,6.32314673703762e-11,2.07464624837631e-08,0.833333333333333,1.15494334255549,0.978166727433865,3.87156779214101e-12,0.83139,3.2313e-08,2.6138e-07,4.9e-05,TRUE,58,105
"MCM3AP",6,0.560006928088092,2.04810891249503e-07,3.6088437597019e-05,1,1.15494334255549,0.978166727433865,1.49921950330718e-07,1.076,2.2234e-10,2.6138e-07,4.9e-05,TRUE,108,59
"RPS5",6,0.714754131891977,2.4760271250865e-10,7.59980583716065e-08,1,1.15494334255549,0.978166727433865,2.40025974776131e-11,0.90003,3.034e-10,2.6138e-07,4.9e-05,TRUE,62,61
"INTS3",6,0.427217742467667,8.1473036749323e-09,1.91411344362916e-06,1,1.15494334255549,0.978166727433865,2.31589057643391e-09,0.54132,4.0796e-10,2.6138e-07,4.9e-05,TRUE,81,63
"DDX47",6,0.441829022505224,1.01448223973074e-06,0.000140916766584496,1,1.15494334255549,0.978166727433865,1.0766126713824e-06,0.60893,4.3479e-10,2.6138e-07,4.9e-05,TRUE,137,64
"SYMPK",6,0.505754698587336,2.91331864736922e-10,8.66257091553692e-08,1,1.15494334255549,0.978166727433865,2.91278538994216e-11,0.6692,1.1675e-07,2.6138e-07,4.9e-05,TRUE,64,125
