"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"PRKD2",6,0.666666353845326,3.29066997042892e-06,0.0011147144524828,0.666666666666667,1.59586015040928,1.51911868264771,0.000344186102853684,0.7412,3.8776e-07,7.8451e-07,0.000256,TRUE,56,99
"SIT1",6,-0.593350336897047,6.70289291743085e-05,0.0138210737656156,1,1.59586015040928,1.51911868264771,0.00575276690289082,-0.87189,9.3035e-09,2.615e-07,6.7e-05,FALSE,92,56
"IKZF1",6,-0.683420597361354,1.68878036294912e-05,0.00451213570213307,1,1.59586015040928,1.51911868264771,0.00163900279505069,-0.89869,1.1694e-08,2.615e-07,6.7e-05,FALSE,71,57
"SIRT1",6,0.649342704997738,3.58638289089741e-06,0.00119357339368989,1,1.59586015040928,1.51911868264771,0.000371707366082449,0.85045,5.1157e-08,2.615e-07,9.9e-05,TRUE,57,69
"GRB2",6,-0.76755932389738,7.18103997860902e-06,0.00219716658700344,1,1.59586015040928,1.51911868264771,0.00073318161382274,-1.1988,2.0923e-08,2.615e-07,6.7e-05,FALSE,62,60
"TRAF3IP2",6,0.535015903075791,5.16037891412428e-06,0.00163153980001563,1,1.59586015040928,1.51911868264771,0.000526839617523617,0.79834,8.1638e-07,1.3075e-06,0.000344,TRUE,60,112
"NKX2-6",6,-0.580079552611603,1.26002166212277e-05,0.00346414651166216,0.833333333333333,1.59586015040928,1.51911868264771,0.00122232394244225,-0.93537,2.2299e-08,2.615e-07,6.7e-05,FALSE,69,61
"NR4A1",6,-0.678730310190893,7.87433223757676e-06,0.00233744642225989,1,1.59586015040928,1.51911868264771,0.000787282601014502,-0.94323,7.2039e-08,2.615e-07,6.7e-05,FALSE,63,73
"LAX1",6,-0.74359408456194,3.65951409124049e-05,0.0083639737723894,1,1.59586015040928,1.51911868264771,0.00327966107271717,-0.96362,3.3766e-08,2.615e-07,6.7e-05,FALSE,83,64
"SOX13",6,-0.757700168922389,8.05642427687332e-06,0.00235123643895826,1,1.59586015040928,1.51911868264771,0.000793611423899557,-0.96491,3.7974e-06,3.3995e-06,0.000795,FALSE,65,163
"FOXE1",6,-0.636792203367348,0.0001102838621134,0.0197366496631245,0.833333333333333,1.59586015040928,1.51911868264771,0.00862730154907542,-1.2002,4.2677e-08,2.615e-07,6.7e-05,FALSE,106,66
"FUT4",6,-0.636957978261558,9.87981200562085e-06,0.00283969748100951,0.833333333333333,1.59586015040928,1.51911868264771,0.000978096954596992,-0.79326,4.8205e-06,4.9685e-06,0.001107,FALSE,66,172
"ALX4",6,0.60942255510726,1.11706810380634e-05,0.0031162914601774,1,1.59586015040928,1.51911868264771,0.00108652667235558,0.88959,1.1279e-07,2.615e-07,9.9e-05,TRUE,68,78
"EEPD1",6,0.502475891093784,0.000167472573867567,0.0260406125103914,1,1.59586015040928,1.51911868264771,0.0118590725315447,0.73371,6.6842e-08,2.615e-07,9.9e-05,TRUE,122,70
"WDPCP",6,0.51023053400391,1.67000127009394e-05,0.00451213570213307,0.833333333333333,1.59586015040928,1.51911868264771,0.00163900279505069,0.66721,5.8972e-07,7.8451e-07,0.000256,TRUE,70,104
"PAPOLG",6,0.47911112981844,0.00193561481868805,0.138564807023777,0.833333333333333,1.59586015040928,1.51911868264771,0.0801776691238393,0.98257,6.7899e-08,2.615e-07,9.9e-05,TRUE,264,72
"SLC16A1",6,0.745427892360181,1.73284624447917e-05,0.0045655685080236,1,1.59586015040928,1.51911868264771,0.00166264896259118,1.0121,8.9017e-08,2.615e-07,9.9e-05,TRUE,72,76
"BTLA",6,-0.6412795909656,1.82623670917594e-05,0.00468158248284698,1,1.59586015040928,1.51911868264771,0.00171378482164092,-0.8065,1.9713e-06,2.615e-07,6.7e-05,FALSE,74,139
